id,name,rating,price_level,indoor_outdoor,latitude,longitude,features_text
ChIJq95xT4I30i0RaU3j93Diq8o,Tanah Lot,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.621213,115.086807,hindu temple tourist attraction place of worship association or organization point of interest establishment
ChIJZ5sY9kM90i0RVsPvSxZD7LY,Sacred Monkey Forest Sanctuary,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.5193727,115.26062990000001,nature preserve tourist attraction park point of interest establishment
ChIJVwisn2yJ0S0RUxvb5GhlJBg,Ulun Danu Beratan Temple,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.2751807,115.16682340000001,hindu temple tourist attraction place of worship association or organization point of interest establishment
ChIJx97hVM9E0i0RUVpPBj5miBk,Garuda Wisnu Kencana Cultural Park,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.8104228,115.16759859999999,tourist attraction park point of interest establishment
ChIJ4wD5Iwsi0i0R7QRsOGmJGo0,Tegallalang Rice Terrace,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.431711199999999,115.279303,scenic spot tourist attraction point of interest establishment
ChIJ-9cMAqsn0i0RmoPm81-HDy8,Jatiluwih Rice Terraces,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.3700942,115.1312269,tourist attraction point of interest establishment
ChIJ0Zo39DZH0i0R0acI0bADr2U,Tirta Gangga,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.4123473,115.5872919,tourist attraction point of interest establishment
ChIJ34KP7qNG0i0RpX9A85PWkRI,Waterbom Bali,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.728581499999999,115.1692888,water park tourist attraction amusement park point of interest establishment
ChIJo-YhLEkj0i0RwrBdmWw4Fbc,Sangeh Monkey Forest,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.4818231,115.20646409999999,park tourist attraction point of interest establishment
ChIJ8c9PQP2P0S0RNJMC6i4k8iQ,Aling-Aling Waterfall,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.1746122,115.1047284,tourist attraction point of interest establishment
ChIJ7yfO4n2P0S0RiKUeI1xVpyg,SEKUMPUL WATERFALL OFFICIAL (POST 1),4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.171880699999999,115.18621160000001,tourist attraction point of interest establishment
ChIJbzqpVBWJ0S0R05zES7guCTk,Bali Handara Gate,3.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.2529949,115.15827569999999,tourist attraction historical landmark historical place point of interest establishment
ChIJdegEep2P0S0RlyNNjuDZzE4,Banyumala Waterfall,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.217187299999999,115.1016811,tourist attraction point of interest establishment
ChIJkYHLIPxP0i0RlQTbpxuNuQw,Uluwatu Temple,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.829143199999999,115.08490690000001,hindu temple tourist attraction performing arts theater place of worship association or organization event venue point of interest establishment
ChIJXfZP2tYg0i0RUaM-yoiFiXs,Leke Leke Waterfall,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.366982499999999,115.1982865,tourist attraction point of interest establishment
ChIJv_tYCBIX0i0Rn_MGS2i_Kpc,Goa Rang Reng Waterfall,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.5155934,115.3313441,tourist attraction point of interest establishment
ChIJNzuaSiSP0S0RTFO-fUj1eUY,Sekumpul Waterfalls Official Parking,3.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.1774263,115.18259789999998,tourist attraction transportation service point of interest establishment
ChIJ6yVDK2490i0R5XJsZk1gu6M,My Swing Bali,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.4931824,115.2404207,tourist attraction restaurant food lodging sports activity location point of interest service establishment
ChIJu4w-njEW0i0RRaWY9_yFb88,Goa Gajah,4.2,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.523437800000002,115.28715679999999,hindu temple tourist attraction place of worship association or organization point of interest establishment
ChIJC7KcfoFv0i0ReRXz2tOmixY,Angel's Billabong,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.7335003,115.44897879999998,tourist attraction point of interest establishment
ChIJR7MWORA90i0Rj7ugb0Lss4g,This Is Bali - Balinese Food & Desserts,4.9,PRICE_LEVEL_MODERATE,Indoor,-8.5081513,115.2642473,indonesian restaurant restaurant food point of interest establishment
ChIJ28dn2hdH0i0RMJGidoQ8ilw,Mamasan Bali,4.6,PRICE_LEVEL_MODERATE,Indoor,-8.6821655,115.16477159999998,asian restaurant wine bar lounge bar vietnamese restaurant cocktail bar thai restaurant night club chinese restaurant bar restaurant food point of interest establishment
ChIJi7uXp2o90i0RU5vJCtDVtSQ,Donna,4.8,PRICE_LEVEL_UNSPECIFIED,Indoor,-8.5130447,115.26071840000002,restaurant cocktail bar hookah bar bar association or organization food point of interest establishment
ChIJy0JszGxH0i0RocRhbrUkd1w,Ling-Ling's Bali,4.8,PRICE_LEVEL_MODERATE,Indoor,-8.6741987,115.15739990000002,asian restaurant diner asian fusion restaurant cocktail bar fusion restaurant sushi restaurant meal takeaway japanese restaurant bar restaurant food point of interest establishment
ChIJ7SHlDCg50i0RaM29YbEeVjg,Penny Lane,4.5,PRICE_LEVEL_MODERATE,Indoor,-8.653356300000002,115.1305667,restaurant cocktail bar brunch restaurant bar indonesian restaurant food point of interest establishment
ChIJ4_VZCBBH0i0RynLj1nLY7Ng,Huge Restaurant,4.6,PRICE_LEVEL_UNSPECIFIED,Indoor,-8.671790099999999,115.1596085,restaurant lounge bar brunch restaurant steak house bar and grill night club breakfast restaurant bar event venue food point of interest establishment
ChIJYUi2MOI50i0RFUr3eL2-pBk,Santanera,4.8,PRICE_LEVEL_UNSPECIFIED,Indoor,-8.6518645,115.1310544,restaurant wine bar mediterranean restaurant cocktail bar steak house south american restaurant latin american restaurant spanish restaurant bar tapas restaurant food point of interest establishment
ChIJGYdvhUBF0i0RnjYUd0m8u58,El Kabron,4.7,PRICE_LEVEL_EXPENSIVE,Indoor,-8.8018997,115.1173509,seafood restaurant spanish restaurant live music venue association or organization event venue restaurant food point of interest establishment
