id,name,rating,price_level,indoor_outdoor,latitude,longitude,features_text
ChIJu3qmEsTFaS4R5X6jRWs88nU,Bogor Botanical Gardens,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.5976289,106.7995698,botanical garden tourist attraction park point of interest establishment
ChIJ8xmm613PaS4RBLnoMfATWkg,The Jungle Waterpark Bogor,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.6344794,106.7949215,water park tourist attraction amusement park sports activity location point of interest establishment
ChIJM62_N4XFaS4RpOWeZ1cd4U0,Kampung Labirin,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.6080271999999995,106.8065876,tourist attraction point of interest establishment
ChIJg-7mFM-1aS4R2RGPC7JrWAY,Taman Safari Indonesia Bogor,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.7206491999999995,106.9508355,zoo tourist attraction point of interest establishment
ChIJUzxTq9XPaS4RKRG_pEF2QvY,Nangka Waterfall,4.3,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.6690656,106.7264075,tourist attraction nature preserve national park park hiking area sports activity location point of interest establishment
ChIJkbSRr8XFaS4RtXhmDR_7ITk,Gunting Lake Kebun Raya Bogor,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.6003367,106.7978054,tourist attraction national park park botanical garden point of interest establishment
ChIJ4YPJSMHFaS4RD0r-B2I3Vnc,LAWANG SURYAKANCANA,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.6032728999999994,106.79890979999999,tourist attraction historical landmark historical place point of interest establishment
ChIJt_Go7czFaS4Rk9zb3EkzQH0,Taman Kencana,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.588824,106.8019101,city park tourist attraction park point of interest establishment
ChIJM3LVAMTFaS4RFmbOu-3QVRM,Mexico Garden,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.6022434,106.8003444,city park tourist attraction park garden point of interest establishment
ChIJRYWXKgLFaS4RXhF2-G9qbEw,Tepas Salapan Lawang Dasakreta,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.6014713,106.8050773,tourist attraction point of interest establishment
ChIJVdsoqGbFaS4RIjK3D5yU4i4,Akuatik Park,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.6007929,106.800734,park tourist attraction point of interest establishment
ChIJa7Oy8o7FaS4RD4kDeksr1E0,Rivera Outbound & Edutainment,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.6251131999999995,106.7968862,tourist attraction point of interest establishment
ChIJT3ml0APFaS4R_9O3l4Cu_Co,Medja Restaurant,4.5,PRICE_LEVEL_EXPENSIVE,Indoor,-6.6093124,106.8127963,indonesian restaurant restaurant food point of interest establishment
ChIJe6TeyxbEaS4RH1N2f5IEDpU,Gurih 7 Bogor Indonesia,4.7,PRICE_LEVEL_MODERATE,Indoor,-6.5738623,106.80754569999999,family restaurant indonesian restaurant seafood restaurant restaurant food point of interest establishment
ChIJtXICEtzFaS4ROkuqymqYD6Y,Kluwih Sunda Authentic,4.4,PRICE_LEVEL_MODERATE,Indoor,-6.6029520999999995,106.8109593,indonesian restaurant restaurant food point of interest establishment
ChIJg3lbiwTFaS4R5rd8S51e0Vc,Hujan Rempah,4.8,PRICE_LEVEL_MODERATE,Indoor,-6.6058607,106.8120137,restaurant cafe event venue food point of interest service establishment
ChIJbZbsi93FaS4RKMQSJBuFKOg,De' Leuit Jambal Rice Sensation,4.4,PRICE_LEVEL_MODERATE,Indoor,-6.606964199999999,106.8101219,indonesian restaurant restaurant food point of interest establishment
ChIJ1_12fzLEaS4R7q302qsE4WQ,Bumi Aki,4.7,PRICE_LEVEL_MODERATE,Indoor,-6.5839571999999995,106.8057975,family restaurant indonesian restaurant restaurant food point of interest establishment
ChIJd-2rmc3FaS4R1sFROjDZmcE,Roofpark Bogor,4.5,PRICE_LEVEL_MODERATE,Indoor,-6.589329,106.80515000000001,cafe gastropub bar restaurant food point of interest establishment
ChIJDdG1ECXEaS4RoUtYgMcQPrw,Shabu Hachi Bogor,4.8,PRICE_LEVEL_EXPENSIVE,Indoor,-6.610833800000001,106.8121122,japanese restaurant restaurant food point of interest establishment
ChIJzxiB21fFaS4Riy0kxET8nho,Love Garden Resto & Cafe,4.5,PRICE_LEVEL_MODERATE,Indoor,-6.5945122,106.7838202,restaurant food point of interest establishment
ChIJx6NKUHPFaS4ReFC2Xea8DhI,The Rica Resto - Bogor,4.8,PRICE_LEVEL_UNSPECIFIED,Indoor,-6.589347399999999,106.8045605,indonesian restaurant family restaurant seafood restaurant restaurant food point of interest establishment
ChIJP1YclbjFaS4RxY5atlh6MeU,Gumati,4.7,PRICE_LEVEL_MODERATE,Indoor,-6.6012512,106.7924658,indonesian restaurant restaurant food point of interest establishment
ChIJH9XeatzFaS4RRQl4plQ6ykg,Adamar Kitchen and Lounge,4.7,PRICE_LEVEL_EXPENSIVE,Indoor,-6.6032986,106.810501,restaurant live music venue cafe event venue food point of interest establishment
ChIJmYtv8SvFaS4RB-T7D3paxbY,Liwetaan Resto,4.9,PRICE_LEVEL_MODERATE,Indoor,-6.5612758,106.8116871,indonesian restaurant restaurant food point of interest establishment
ChIJN5jVV8zFaS4R7PtJqPyqARc,Kedai Kita,4.5,PRICE_LEVEL_MODERATE,Indoor,-6.5901385,106.8028126,family restaurant breakfast restaurant restaurant food point of interest establishment
ChIJ9_azHMbFaS4RVFT4YA3J3qI,Resto raasaa,4.4,PRICE_LEVEL_MODERATE,Indoor,-6.598764999999999,106.80378970000001,indonesian restaurant western restaurant breakfast restaurant cafe restaurant food point of interest establishment
ChIJtxddBb3FaS4RtobpJPtSYKc,Raindear Coffee & Kitchen,4.8,PRICE_LEVEL_MODERATE,Indoor,-6.6034326,106.8102516,coffee shop cafe restaurant food store store food point of interest establishment
ChIJyVc9AfnFaS4RbBowUbEeuOU,Saung Abah Ayam Bakar Bambu Bogor,4.9,PRICE_LEVEL_MODERATE,Indoor,-6.5971630999999995,106.7846953,chicken restaurant restaurant food point of interest establishment
ChIJeQ8zpKLFaS4Ry58vNPlVTpQ,T-Bene Social Coffee & Kitchen,4.8,PRICE_LEVEL_UNSPECIFIED,Indoor,-6.568701099999999,106.8058775,restaurant food point of interest establishment
ChIJf4CuPADFaS4RihM9iyVH1wE,"de flore, Dine & Drink",4.8,PRICE_LEVEL_UNSPECIFIED,Indoor,-6.6090208,106.8129093,family restaurant restaurant food point of interest establishment
ChIJe2qDGQS0aS4RFj619KQtOuU,Bumi Aki Puncak - Family Restaurant,4.7,PRICE_LEVEL_MODERATE,Indoor,-6.7113942,107.0015782,indonesian restaurant family restaurant restaurant food point of interest establishment
