id,name,rating,price_level,indoor_outdoor,latitude,longitude,features_text
ChIJV4Ey3IdAjoARdgIjQTFtiBc,The Mystery Spot,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,37.0172306,-122.00292839999999,tourist attraction point of interest establishment
ChIJe6hluYWP2oAR4p3rOqftdxk,Joshua Tree National Park,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,33.873415,-115.90099229999998,national park tourist attraction park point of interest establishment
ChIJxeyK9Z3wloAR_gOA7SycJC0,Yosemite National Park,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,37.8651011,-119.5383294,national park tourist attraction park point of interest establishment
ChIJw____96GhYARCVVwg5cT7c0,Golden Gate Bridge,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,37.819910899999996,-122.4785598,bridge tourist attraction historical landmark historical place transportation service point of interest establishment
ChIJa147K9HX3IAR-lwiGIQv9i4,Disneyland Park,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,33.8120918,-117.91897420000001,tourist attraction amusement center amusement park point of interest establishment
ChIJmRyMs_mAhYARpViaf6JEWNE,Alcatraz Island,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,37.8269775,-122.42295550000001,historical place tourist attraction point of interest establishment
ChIJm6deTdekwoARTY_RzhoRms0,Santa Monica Pier,4.6,PRICE_LEVEL_FREE,Outdoor,34.008282099999995,-118.4987585,fishing pier visitor center tourist attraction historical landmark historical place tourist information center tour agency travel agency service point of interest establishment
ChIJR4qudndLx4ARVLDye3zwycw,Death Valley National Park,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,36.505389099999995,-117.0794078,national park tourist attraction park point of interest establishment
ChIJY_dFYHKHhYARMKc772iLvnE,Golden Gate Park,4.8,PRICE_LEVEL_FREE,Outdoor,37.7689203,-122.482977,park tourist attraction garden point of interest establishment
ChIJid_rw0PyloARCiimK8Lg11g,Glacier Point,4.9,PRICE_LEVEL_UNSPECIFIED,Outdoor,37.728150899999996,-119.57349989999999,scenic spot landmark hiking area tourist attraction sports activity location point of interest establishment
ChIJdVU1jjLtloARrwJm73BayOY,El Capitan,4.9,PRICE_LEVEL_UNSPECIFIED,Outdoor,37.733931,-119.63767329999999,tourist attraction point of interest establishment
ChIJ0aQ123BxlYARi6ZTIGBC_7s,Yucca Point,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,36.8322667,-118.87495729999999,tourist attraction point of interest establishment
ChIJUexFVhlAjoARpU8zCcm9Awk,Santa Cruz Beach Boardwalk,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,36.9645218,-122.01666720000001,amusement park bowling alley hamburger restaurant fast food restaurant american restaurant clothing store snack bar meal takeaway sports complex sports activity location restaurant food store point of interest establishment
ChIJG-Bf_XpklIARer-HGiww0u0,Kearney Mansion Museum,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,36.7237575,-119.91942599999999,museum tourist attraction point of interest establishment
ChIJTZGvDJBzlYAR8A0k6Yv3p_k,Blue Ridge Vista Point,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,36.73373,-119.02091379999997,tourist attraction point of interest establishment
ChIJecB6Sre7loARcND8vCuW610,Yosemite Crystals,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,37.4884622,-119.96945899999999,tourist attraction point of interest establishment
ChIJN4nkPgANlYARWX82p0-U7YE,Sequoia National Forest Marker,0.0,PRICE_LEVEL_UNSPECIFIED,Outdoor,36.7367981,-119.0482299,tourist attraction point of interest establishment
ChIJYXgweABVlIAR4V9mGqCRIn4,Monterey peninsula,5.0,PRICE_LEVEL_UNSPECIFIED,Outdoor,36.778261,-119.41793240000001,tourist attraction point of interest establishment
ChIJHfO7VaErlYARbGL4Jv5S_Ec,Tulare Historical Museum,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,36.2072222,-119.35416670000001,museum tourist attraction point of interest establishment
