id,name,rating,price_level,indoor_outdoor,latitude,longitude,features_text
ChIJ4ddwbASPsUcRuhjNLkHPTqc,Miniatur Wunderland,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,53.543842899999994,9.9890989,museum tourist attraction point of interest establishment
ChIJ68iBTQyPsUcRNPB-aZT4YuI,St. Pauli Piers,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,53.5453799,9.9660023,tourist attraction point of interest establishment
ChIJT8RwZwaPsUcRhkKYaCqr5LI,Elbphilharmonie Hamburg,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,53.5413305,9.9844647,concert hall tourist attraction observation deck auditorium live music venue event venue point of interest establishment
ChIJ6cjadQSPsUcRAgwQUOqpfaU,Hamburg Dungeon,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,53.5438402,9.98944,tourist attraction performing arts theater event venue service point of interest establishment
ChIJnQn-7D2PsUcRXC53QWChQkM,Planten un Blomen,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,53.5620171,9.9820652,park tourist attraction point of interest establishment
ChIJL8-shxuPsUcRYwJK6K8knT8,Hamburg Townhall,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,53.5504312,9.992333499999999,city hall tourist attraction historical landmark historical place local government office government office service point of interest establishment
ChIJAQAAkAKPsUcRgJn-oX24pYo,Speicherstadt,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,53.546013099999996,10.0021364,tourist attraction point of interest establishment
ChIJq2cnIEujY0ERYYlRjZqHwt0,Alsterfontäne,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,53.5550625,9.995816099999999,tourist attraction historical landmark historical place point of interest establishment
ChIJMQkWH7GPsUcREVNubkHNSYA,Inner Alster,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,53.554626999999996,9.991479000000002,tourist attraction point of interest establishment
ChIJO_W-ouaOsUcRu5bbsnkRzJk,Museum of Art and Industry,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,53.5512167,10.0097694,museum tourist attraction art museum point of interest establishment
ChIJq9-fdg2PsUcRA6AOeeO1j9w,Bismarck Monument,3.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,53.54870880000001,9.9720917,tourist attraction historical landmark historical place point of interest establishment
ChIJlSSsLkGPsUcRmlyoSZFKEOQ,Hans-Albers-Platz,4.3,PRICE_LEVEL_UNSPECIFIED,Outdoor,53.5487354,9.9608945,tourist attraction point of interest establishment
ChIJp_tULnCPsUcRMdG2xI2jwn0,Beatles-Platz,4.0,PRICE_LEVEL_UNSPECIFIED,Outdoor,53.5498334,9.957292299999999,tourist attraction point of interest establishment
ChIJt5u_5QyPsUcRycCU6-zwZ9c,Alter Elbtunnel,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,53.5458861,9.9665878,historical landmark tourist attraction historical place point of interest establishment
ChIJDVSIIPmOsUcRO2BHa_838jY,Lighthouse Zero,4.2,PRICE_LEVEL_UNSPECIFIED,Outdoor,53.538467999999995,10.004227000000002,tourist attraction point of interest establishment
ChIJSyfBAquPsUcRfbYt9dhkfgQ,Bleichensteg,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,53.551847099999996,9.9894512,tourist attraction point of interest establishment
ChIJkTvC3eKOsUcReP6O5u_10sA,Chocoversum,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,53.5479215,10.002545399999999,museum tourist attraction chocolate shop candy store dessert shop confectionery food store store food point of interest establishment
ChIJTRWrXA-PsUcRrSdFH5ckJ9A,Jan Fedder Promenade,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,53.5439059,9.979359500000001,scenic spot tourist attraction point of interest establishment
ChIJpw3eo4CFsUcRJMS6gQnp-aE,Altonaer Balkon,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,53.545293699999995,9.935098,state park tourist attraction park point of interest establishment
ChIJDwPU0C6PsUcRqyB6zZrBxSc,Alstermündung,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,53.5444052,9.9838139,tourist attraction point of interest establishment
ChIJRR3P-d2OsUcRR-HQEv0VVQY,Das Dorf,4.7,PRICE_LEVEL_EXPENSIVE,Indoor,53.557002999999995,10.010267299999999,german restaurant bistro austrian restaurant european restaurant restaurant food point of interest establishment
