id,name,rating,price_level,indoor_outdoor,latitude,longitude,features_text
ChIJPTacEpBQwokRKwIlDXelxkA,Statue of Liberty,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,40.6892494,-74.04450039999999,historical landmark tourist attraction monument historical place point of interest establishment
ChIJe7vKMf9YwokRIMYfDz7iF9o,Top of The Rock,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,40.7593495,-73.9794087,observation deck tourist attraction event venue point of interest establishment
ChIJaXQRs6lZwokRY6EFpJnhNNE,Empire State Building,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,40.7484405,-73.98566439999999,historical landmark tourist attraction observation deck historical place museum point of interest establishment
ChIJ4zGFAZpYwokRGUGph3Mf37k,Central Park,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,40.7825547,-73.9655834,park tourist attraction garden point of interest establishment
ChIJm9tkjRJawokR1LRAe3Sh-6w,Statue of Liberty Lookout,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,40.700923599999996,-74.0151612,tourist attraction scenic spot point of interest establishment
ChIJTWE_0BtawokRVJNGH5RS448,One World Observatory,4.7,PRICE_LEVEL_EXPENSIVE,Outdoor,40.713006199999995,-74.013173,observation deck cocktail bar tourist attraction scenic spot historical landmark historical place event venue bar cafe restaurant food point of interest establishment
ChIJy7cGfBlawokR5l2e93hsoEA,One World Trade Center,4.8,PRICE_LEVEL_EXPENSIVE,Outdoor,40.7127431,-74.0133795,historical landmark tourist attraction historical place point of interest establishment
ChIJ5bQPhMdZwokRkTwKhVxhP1g,The High Line,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,40.747992499999995,-74.0047649,park tourist attraction non profit organization association or organization point of interest establishment
ChIJRd-w45BZwokRMluvVXM2Bbk,Washington Square Fountain,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,40.7308514,-73.99743110000001,tourist attraction point of interest establishment
ChIJ8VOfr1RYwokRhil9_pcMKuc,Madame Tussauds New York,4.5,PRICE_LEVEL_EXPENSIVE,Outdoor,40.7564752,-73.9883888,tourist attraction museum point of interest establishment
