id,name,rating,price_level,indoor_outdoor,latitude,longitude,features_text
ChIJpR6UjKfEmUcRcqW5MbHYdO4,Stuttgart TV Tower,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.7558609,9.190105599999999,tourist attraction observation deck restaurant food point of interest establishment
ChIJkd8d2v7EmUcRlEv7v_H0ZsE,Mercedes-Benz Museum,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.7881453,9.233982,museum tourist attraction point of interest establishment
ChIJbwUJpjXbmUcROnJATElzb4E,Schlossplatz,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.7786307,9.179640299999999,historical place tourist attraction park point of interest establishment
ChIJ4dnOMofamUcRh3lftY5kgDw,Porsche Museum,4.7,PRICE_LEVEL_VERY_EXPENSIVE,Outdoor,48.8342104,9.152554499999999,tourist attraction museum point of interest establishment
ChIJ1Q2AB8vEmUcRVUkv1rHzrV8,Staatsgalerie Stuttgart,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.7801002,9.1865854,art museum tourist attraction art gallery museum point of interest establishment
ChIJu5y9eDXbmUcRA4AZFSiB-M8,Old Castle,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.777062099999995,9.179547099999999,castle tourist attraction museum historical place point of interest establishment
ChIJJUGfmTrFmUcRRHwjsqrLVJc,Maurischer Garten Stuttgart,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.8065276,9.2054057,botanical garden tourist attraction point of interest establishment
ChIJNwoMHK3bmUcRSi4PCSzDZHE,Höhenpark Killesberg,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.804117399999996,9.173753999999999,park tourist attraction point of interest establishment
ChIJHecoQDXbmUcRaZ5zXsJie0o,Neues Schloss Stuttgart,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.7779689,9.1818709,castle tourist attraction historical place point of interest establishment
ChIJa4SQJDDbmUcRnh4iPvqIyDA,Chinese Garden Stuttgart,4.0,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.7872385,9.1759729,botanical garden tourist attraction garden point of interest establishment
ChIJy3mewTXbmUcRovnNWdLRP0Q,Art Museum Stuttgart,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.7783294,9.1775786,art museum tourist attraction museum point of interest establishment
ChIJV4MIADLbmUcRh56DKkG2ei4,Stuttgardia Skulptur,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.775225500000005,9.177701299999999,tourist attraction point of interest establishment
ChIJXZysXUrbmUcRXnnCz4UIESE,Marktplatz,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.7751947,9.1783851,tourist attraction point of interest establishment
ChIJ_aPR-czEmUcRRNepBO7fYIY,Carl-Zeiss Planetarium Stuttgart,4.3,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.783319999999996,9.18688,planetarium tourist attraction point of interest establishment
