id,name,rating,price_level,indoor_outdoor,latitude,longitude,features_text
ChIJ3wYgv5kHbUcRX0LEFIAWhYY,Hofburg,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.2056578,16.3647803,historical place history museum tourist attraction historical landmark museum point of interest establishment
ChIJv3zAHAmobUcRyYvq5F26aU4,Schönbrunn Palace,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.185812399999996,16.3127641,castle tourist attraction historical landmark historical place museum point of interest establishment
ChIJz-w_Ip8HbUcRWTHc-vNXlxc,St. Stephen's Cathedral,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.208411399999996,16.3734707,tourist attraction church place of worship association or organization point of interest establishment
ChIJd7QUtBIHbUcRnIE5N35NVIQ,Hundertwasser House,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.207336999999995,16.394294,tourist attraction point of interest establishment
ChIJpZ4LAn0HbUcRB3aToFL8ZUo,Belvedere Palace,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.191475100000005,16.3809322,museum tourist attraction point of interest establishment
ChIJ8XfPY5oHbUcRQbimbLVSYG8,Kunsthistorisches Museum Wien,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.2038016,16.3617874,museum tourist attraction art museum point of interest establishment
ChIJY6GrTT8HbUcR9LGo6Zxp5_w,Prater,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.2154648,16.4001739,amusement park tourist attraction park restaurant food store point of interest establishment
ChIJf5_KqpAHbUcROuTS5DKluMk,Heldenplatz,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.2065038,16.3634618,tourist attraction plaza historical landmark historical place park point of interest establishment
ChIJbac0_JgHbUcRXkPUJudXIpA,Time Travel Vienna,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.20825920000001,16.3682589,tourist attraction historical landmark historical place museum point of interest establishment
ChIJJYWNjA8HbUcRBlfleWeh1qw,Viennese Giant Ferris Wheel,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.2166995,16.3959008,ferris wheel tourist attraction historical landmark historical place point of interest establishment
