id,name,rating,price_level,indoor_outdoor,latitude,longitude,opening_time,gmaps_link,features_text
ChIJwX3fcSHnaC4RRwqIfgJdkC8,Tebing Karaton,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.8348771,107.6637416,Monday: 8:00 AM – 4:00 PM | Tuesday: 8:00 AM – 4:00 PM | Wednesday: 8:00 AM – 4:00 PM | Thursday: 8:00 AM – 4:00 PM | Friday: 8:00 AM – 4:00 PM | Saturday: 8:00 AM – 4:00 PM | Sunday: 8:00 AM – 4:00 PM,https://maps.google.com/?cid=3427341581723109959&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction park point of interest establishment
ChIJ1RIjvSXmaC4RheCmPFv6hFU,The Centre Of Bandung 0 Km Monument,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.9213862,107.6111674,No Opening Hours Data,https://maps.google.com/?cid=6162325459916218501&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,historical landmark tourist attraction historical place point of interest establishment
ChIJOd0juyXmaC4RDPsJKOQexU8,Asia Africa Monument,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.9213073,107.60769040000001,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=5748034464681425676&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,historical landmark tourist attraction historical place point of interest establishment
ChIJeUGDdCvnaC4RX24Dt0esfD4,Dago Dreampark,4.2,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.8484061,107.6259371,Monday: 9:00 AM – 5:00 PM | Tuesday: 9:00 AM – 5:00 PM | Wednesday: 9:00 AM – 5:00 PM | Thursday: 9:00 AM – 5:00 PM | Friday: 9:00 AM – 5:00 PM | Saturday: 8:00 AM – 6:00 PM | Sunday: 8:00 AM – 6:00 PM,https://maps.google.com/?cid=4502663151476764255&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction amusement park amusement center sports activity location point of interest establishment
ChIJSZh4eiXmaC4RAUPOmyG32uk,Plaza Cikapundung River Spot,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.9200921,107.6088457,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=16850982310735921921&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,city park tourist attraction park point of interest establishment
ChIJ64KigjfmaC4RYmNYyYqAV0k,Taman Sejarah Bandung,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.9110499,107.60959419999999,Monday: Closed | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=5284834021314421602&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,city park tourist attraction park point of interest establishment
ChIJT5aRFS_maC4RcqQgi-wwFu0,Asia-Africa Conference Museum,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.9210247,107.6095708,"Monday: Closed | Tuesday: Closed | Wednesday: 9:00 AM – 12:00 PM, 1:00 – 3:00 PM | Thursday: 9:00 AM – 12:00 PM, 1:00 – 3:00 PM | Friday: 9:00 AM – 12:00 PM, 1:30 – 3:30 PM | Saturday: 9:00 AM – 12:00 PM, 1:00 – 3:00 PM | Sunday: Closed",https://maps.google.com/?cid=17083896028981142642&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,history museum historical landmark tourist attraction museum historical place point of interest establishment
ChIJia31vjvhaC4RcSMrAu3razU,Farmhouse Susu Lembang,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.832968999999999,107.60561829999999,Monday: 9:00 AM – 6:00 PM | Tuesday: 9:00 AM – 6:00 PM | Wednesday: 9:00 AM – 6:00 PM | Thursday: 8:00 AM – 7:00 PM | Friday: 8:00 AM – 7:00 PM | Saturday: 8:00 AM – 7:00 PM | Sunday: 8:00 AM – 7:00 PM,https://maps.google.com/?cid=3849429709694378865&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJo8gMfQDnaC4RC9sHaF4oamo,Braga Beken,4.3,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.9150972,107.60894449999999,Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: Closed | Friday: Closed | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=7667985701489072907&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJbQGEsi3maC4RSqVznBsUne0,Museum Mainan,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.9200082,107.6176133,Monday: 11:00 AM – 8:00 PM | Tuesday: 11:00 AM – 8:00 PM | Wednesday: 11:00 AM – 8:00 PM | Thursday: Closed | Friday: 11:00 AM – 8:00 PM | Saturday: 11:00 AM – 8:00 PM | Sunday: 11:00 AM – 8:00 PM,https://maps.google.com/?cid=17121863467153990986&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
