id,name,rating,price_level,indoor_outdoor,latitude,longitude,opening_time,gmaps_link,features_text
ChIJiQnyVcZRqEcRY0xnhE77uyY,Brandenburg Gate,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,52.516274599999996,13.377704,No Opening Hours Data,https://maps.google.com/?cid=2791100708733537379&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,historical place tourist attraction historical landmark point of interest establishment
ChIJ6_8UkB9OqEcRoeRJQ0j8-sg,Berlin TV Tower,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,52.520815,13.409419,Monday: 9:00 AM – 11:00 PM | Tuesday: 9:00 AM – 11:00 PM | Wednesday: 9:00 AM – 11:00 PM | Thursday: 9:00 AM – 11:00 PM | Friday: 9:00 AM – 11:00 PM | Saturday: 9:00 AM – 11:00 PM | Sunday: 9:00 AM – 11:00 PM,https://maps.google.com/?cid=14482164939060012193&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,historical landmark observation deck tourist attraction historical place bar restaurant food point of interest establishment
ChIJS9HC895RqEcR_IovsNVoDng,Berlin Cathedral,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,52.5190608,13.401078,Monday: 9:00 AM – 6:00 PM | Tuesday: 9:00 AM – 6:00 PM | Wednesday: 9:00 AM – 6:00 PM | Thursday: 9:00 AM – 6:00 PM | Friday: 9:00 AM – 6:00 PM | Saturday: 9:00 AM – 5:00 PM | Sunday: 12:00 – 5:00 PM,https://maps.google.com/?cid=8650967201218530044&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction church place of worship association or organization point of interest establishment
ChIJbygR2x5OqEcRbhbkZsMB_DA,Alexanderplatz,4.3,PRICE_LEVEL_UNSPECIFIED,Outdoor,52.521981399999994,13.413305999999999,No Opening Hours Data,https://maps.google.com/?cid=3529698146708100718&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,plaza tourist attraction historical place point of interest establishment
ChIJIeqReMlRqEcRquFNJTyYoUw,Potsdamer Platz,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,52.5092312,13.376105299999999,No Opening Hours Data,https://maps.google.com/?cid=5521862002224259498&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,plaza landmark tourist attraction point of interest establishment
ChIJS6_t9aZHqEcRGCiRSnvpm94,East Side Gallery,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,52.505022399999994,13.439695299999999,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=16040671213551429656&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,landmark tourist attraction art gallery historical place point of interest establishment
ChIJbVDuQcdRqEcR5X3xq9NSG2Q,Reichstag Building,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,52.5186202,13.3761871,No Opening Hours Data,https://maps.google.com/?cid=7213450297240288741&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,government office tourist attraction point of interest establishment
ChIJzdgmXNFRqEcRyIl9R0IApSM,Checkpoint Charlie,4.1,PRICE_LEVEL_UNSPECIFIED,Outdoor,52.5074434,13.3903913,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=2568459447151987144&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,historical landmark tourist attraction historical place point of interest establishment
ChIJmbztRB9OqEcRGBgdJ67pifE,World Time Clock,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,52.5211743,13.413297,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=17404699169139791896&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction historical landmark historical place point of interest establishment
ChIJZ0KxF_JRqEcRrLHB-4r-U-o,Berlin Wall Memorial,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,52.535052099999994,13.3901898,Monday: 8:00 AM – 10:00 PM | Tuesday: 8:00 AM – 10:00 PM | Wednesday: 8:00 AM – 10:00 PM | Thursday: 8:00 AM – 10:00 PM | Friday: 8:00 AM – 10:00 PM | Saturday: 8:00 AM – 10:00 PM | Sunday: 8:00 AM – 10:00 PM,https://maps.google.com/?cid=16885119300824838572&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction park museum point of interest establishment
