id,name,rating,price_level,indoor_outdoor,latitude,longitude,opening_time,gmaps_link,features_text
ChIJif9mNYcOZ0gRhlbhwPbNDwU,Dublin Castle,4.3,PRICE_LEVEL_UNSPECIFIED,Outdoor,53.342886099999994,-6.2674284,Monday: 9:45 AM – 5:15 PM | Tuesday: 9:45 AM – 5:15 PM | Wednesday: 9:45 AM – 5:15 PM | Thursday: 9:45 AM – 5:15 PM | Friday: 9:45 AM – 5:15 PM | Saturday: 9:45 AM – 5:15 PM | Sunday: 9:45 AM – 5:15 PM,https://maps.google.com/?cid=364736554521941638&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,castle historical landmark tourist attraction historical place point of interest establishment
ChIJbXwkCloMZ0gRO3zBD1Jo1Bg,Kilmainham Gaol,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,53.341870099999994,-6.309804799999999,Monday: 10:30 AM – 5:15 PM | Tuesday: 10:30 AM – 5:15 PM | Wednesday: 10:30 AM – 5:15 PM | Thursday: 10:30 AM – 5:15 PM | Friday: 10:30 AM – 5:15 PM | Saturday: 10:30 AM – 5:15 PM | Sunday: 10:30 AM – 5:15 PM,https://maps.google.com/?cid=1789169653633875003&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,museum tourist attraction service point of interest establishment
ChIJRRL9SksMZ0gRiBtqewjjp4o,Dublin Zoo,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,53.3572232,-6.3071091,Monday: 9:30 AM – 6:00 PM | Tuesday: 9:30 AM – 6:00 PM | Wednesday: 9:30 AM – 6:00 PM | Thursday: 9:30 AM – 6:00 PM | Friday: 9:30 AM – 6:00 PM | Saturday: 9:30 AM – 6:00 PM | Sunday: 9:30 AM – 6:00 PM,https://maps.google.com/?cid=9991203923914529672&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,zoo tourist attraction point of interest establishment
ChIJpVg1bAmnREgRVLEltpvmyJI,St Patrick's Cathedral,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,53.339515399999996,-6.2714767,"Monday: 9:30 AM – 5:00 PM | Tuesday: 9:30 AM – 5:00 PM | Wednesday: 9:30 AM – 5:00 PM | Thursday: 9:30 AM – 5:00 PM | Friday: 9:30 AM – 5:00 PM | Saturday: 9:00 AM – 5:00 PM | Sunday: 9:00 – 10:30 AM, 1:00 – 2:30 PM",https://maps.google.com/?cid=10576957281329852756&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction church place of worship point of interest association or organization establishment
ChIJOWcR1pwOZ0gROrdJKmjDYng,The Irish Rock 'n' Roll Museum Experience,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,53.344926,-6.2644318,Monday: 10:30 AM – 5:00 PM | Tuesday: 10:30 AM – 5:00 PM | Wednesday: 10:30 AM – 5:00 PM | Thursday: 10:30 AM – 5:00 PM | Friday: 10:30 AM – 5:00 PM | Saturday: 10:30 AM – 5:00 PM | Sunday: 10:30 AM – 5:00 PM,https://maps.google.com/?cid=8674710684422485818&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJe1F08akNZ0gRa1ndmi3YJqE,Phoenix Park,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,53.3558823,-6.3298133,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=11612206379604728171&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,park tourist attraction point of interest establishment
ChIJq-FUnZ0OZ0gR9_TAnOCOC7o,Dubh Linn Garden,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,53.3423616,-6.2666319,Monday: 6:30 AM – 7:00 PM | Tuesday: 6:30 AM – 7:00 PM | Wednesday: 6:30 AM – 7:00 PM | Thursday: 6:30 AM – 7:00 PM | Friday: 6:30 AM – 7:00 PM | Saturday: 6:30 AM – 7:00 PM | Sunday: 6:30 AM – 7:00 PM,https://maps.google.com/?cid=13405965811152123127&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,park tourist attraction point of interest establishment
ChIJTey9PoQOZ0gRimcbHe6gLn8,The Spire,4.3,PRICE_LEVEL_UNSPECIFIED,Outdoor,53.349824999999996,-6.2602557,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=9164439236296533898&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,sculpture tourist attraction point of interest establishment
ChIJ6dPJX5sOZ0gRgwlwZ29L4xg,Irish Whiskey Museum,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,53.344198,-6.259525,Monday: 10:00 AM – 7:30 PM | Tuesday: 10:00 AM – 7:30 PM | Wednesday: 10:00 AM – 7:30 PM | Thursday: 10:00 AM – 7:30 PM | Friday: 10:00 AM – 10:00 PM | Saturday: 10:00 AM – 10:00 PM | Sunday: 10:00 AM – 7:30 PM,https://maps.google.com/?cid=1793360018472438147&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,museum history museum tourist attraction point of interest establishment
ChIJLyAohZsOZ0gRqOeJtavVfXY,National Leprechaun Museum of Ireland,4.2,PRICE_LEVEL_UNSPECIFIED,Outdoor,53.347364899999995,-6.2686696,Monday: 10:00 AM – 6:30 PM | Tuesday: 10:00 AM – 6:30 PM | Wednesday: 10:00 AM – 6:30 PM | Thursday: 10:00 AM – 9:30 PM | Friday: 12:00 AM – 9:30 PM | Saturday: 10:00 AM – 9:30 PM | Sunday: 10:00 AM – 6:30 PM,https://maps.google.com/?cid=8538215402026166184&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,museum tourist attraction point of interest establishment
