id,name,rating,price_level,indoor_outdoor,latitude,longitude,opening_time,gmaps_link,features_text
ChIJM5cxndM3zDER7WuP_cN-omg,Aquaria KLCC,4.3,PRICE_LEVEL_UNSPECIFIED,Outdoor,3.1535482999999997,101.713178,Monday: 10:00 AM – 8:00 PM | Tuesday: 10:00 AM – 8:00 PM | Wednesday: 10:00 AM – 8:00 PM | Thursday: 10:00 AM – 8:00 PM | Friday: 10:00 AM – 8:00 PM | Saturday: 9:00 AM – 9:00 PM | Sunday: 9:00 AM – 9:00 PM,https://maps.google.com/?cid=7539728106409389037&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,aquarium tourist attraction museum point of interest establishment
ChIJu8zWwchJzDERhcsx4AhQ1oo,KL Bird Park,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,3.143164,101.6884845,Monday: 9:00 AM – 5:30 PM | Tuesday: 9:00 AM – 5:30 PM | Wednesday: 9:00 AM – 5:30 PM | Thursday: 9:00 AM – 5:30 PM | Friday: 9:00 AM – 5:30 PM | Saturday: 9:00 AM – 5:30 PM | Sunday: 9:00 AM – 5:30 PM,https://maps.google.com/?cid=10004271621301455749&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,wildlife park zoo tourist attraction park point of interest establishment
ChIJORWImM1JzDERWTN2vAb5CzQ,Merdeka Square,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,3.1490605,101.6936592,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=3750364922043052889&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,plaza historical landmark tourist attraction park historical place point of interest establishment
ChIJBWbm2tM3zDERTno0px940s4,KLCC Park,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,3.1555902,101.71478719999999,Monday: 6:00 AM – 10:00 PM | Tuesday: 6:00 AM – 10:00 PM | Wednesday: 6:00 AM – 10:00 PM | Thursday: 6:00 AM – 10:00 PM | Friday: 6:00 AM – 10:00 PM | Saturday: 6:00 AM – 10:00 PM | Sunday: 6:00 AM – 10:00 PM,https://maps.google.com/?cid=14903106194266946126&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,park tourist attraction point of interest establishment
ChIJE1jNHStIzDERujrDO85YYBA,Menara Kuala Lumpur,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,3.1528761999999997,101.7038516,Monday: 9:00 AM – 10:00 PM | Tuesday: 9:00 AM – 10:00 PM | Wednesday: 9:00 AM – 10:00 PM | Thursday: 9:00 AM – 10:00 PM | Friday: 9:00 AM – 10:00 PM | Saturday: 9:00 AM – 10:00 PM | Sunday: 9:00 AM – 10:00 PM,https://maps.google.com/?cid=1180040745160227514&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,historical landmark observation deck buffet restaurant tourist attraction historical place restaurant food point of interest establishment
ChIJqSc-d_JJzDERbOlsCf-UmNs,Thean Hou Temple,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,3.1219525000000004,101.6876678,Monday: 8:00 AM – 8:00 PM | Tuesday: 8:00 AM – 8:00 PM | Wednesday: 8:00 AM – 8:00 PM | Thursday: 8:00 AM – 8:00 PM | Friday: 8:00 AM – 8:00 PM | Saturday: 8:00 AM – 8:00 PM | Sunday: 8:00 AM – 8:00 PM,https://maps.google.com/?cid=15823561113861941612&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,buddhist temple tourist attraction place of worship association or organization point of interest establishment
ChIJBahJiQxHzDER-Z5vs7Lrv_I,Batu Caves,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,3.2378844,101.6840385,No Opening Hours Data,https://maps.google.com/?cid=17491958630477438713&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction place of worship association or organization point of interest establishment
ChIJEWkeL7ZJzDER38lq7GVsWyk,Perdana Botanical Garden,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,3.1429847,101.6847241,Monday: 5:30 AM – 10:00 PM | Tuesday: 5:30 AM – 10:00 PM | Wednesday: 5:30 AM – 10:00 PM | Thursday: 5:30 AM – 10:00 PM | Friday: 5:30 AM – 12:00 AM | Saturday: 5:30 AM – 12:00 AM | Sunday: 5:30 AM – 10:00 PM,https://maps.google.com/?cid=2980094763449633247&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,botanical garden tourist attraction point of interest establishment
ChIJ_Y2Rm81JzDERKAawVfuGOd8,Bangunan Sultan Abdul Samad,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,3.1487179,101.6944582,Monday: 8:00 AM – 10:00 PM | Tuesday: 8:00 AM – 10:00 PM | Wednesday: 8:00 AM – 10:00 PM | Thursday: 8:00 AM – 10:00 PM | Friday: 8:00 AM – 10:00 PM | Saturday: 8:00 AM – 10:00 PM | Sunday: 8:00 AM – 10:00 PM,https://maps.google.com/?cid=16085035958162949672&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,government office historical landmark tourist attraction historical place point of interest establishment
ChIJAY0UL3BJzDERgtnOxJhzC8k,Kwai Chai Hong,4.3,PRICE_LEVEL_UNSPECIFIED,Outdoor,3.1414714999999998,101.6976131,Monday: 9:00 AM – 12:00 AM | Tuesday: 9:00 AM – 12:00 AM | Wednesday: 9:00 AM – 12:00 AM | Thursday: 9:00 AM – 12:00 AM | Friday: 9:00 AM – 12:00 AM | Saturday: 9:00 AM – 12:00 AM | Sunday: 9:00 AM – 12:00 AM,https://maps.google.com/?cid=14486799726341446018&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction historical landmark historical place point of interest establishment
