id,name,rating,price_level,indoor_outdoor,latitude,longitude,opening_time,gmaps_link,features_text
ChIJWS6-eJz_-jERUyRZ7Zr1P4s,Kampung Budaya Sarawak,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,1.7500924,110.3159462,Monday: 9:00 AM – 5:00 PM | Tuesday: 9:00 AM – 5:00 PM | Wednesday: 9:00 AM – 5:00 PM | Thursday: 9:00 AM – 5:00 PM | Friday: 9:00 AM – 5:00 PM | Saturday: 9:00 AM – 5:00 PM | Sunday: 9:00 AM – 5:00 PM,https://maps.google.com/?cid=10034008540560565331&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,museum tourist attraction point of interest establishment
ChIJKQlHS1IE-zERJHi_j8INEKk,Kubah National Park,4.3,PRICE_LEVEL_UNSPECIFIED,Outdoor,1.6127690000000001,110.196905,No Opening Hours Data,https://maps.google.com/?cid=12182252121323698212&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,national park tourist attraction park point of interest establishment
ChIJEabDttjpHjIRWGlhHAJkjfA,Niah National Park,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,3.8014873999999996,113.7853389,No Opening Hours Data,https://maps.google.com/?cid=17333620501047765336&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,national park tourist attraction park point of interest establishment
ChIJ-eL9R5oB-zERcBU5zQME8O8,Kuching Wetlands National Park,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,1.6895038999999998,110.2519226,Monday: 8:00 AM – 5:00 PM | Tuesday: 8:00 AM – 5:00 PM | Wednesday: 8:00 AM – 5:00 PM | Thursday: 8:00 AM – 5:00 PM | Friday: 8:00 AM – 5:00 PM | Saturday: 8:00 AM – 5:00 PM | Sunday: 8:00 AM – 5:00 PM,https://maps.google.com/?cid=17289323383849817456&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,national park tourist attraction park point of interest establishment
ChIJYS7oo2R1-zERbLMHEKPgYGo,Semenggoh Wildlife Centre,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,1.4019845,110.3144405,"Monday: 8:00 – 10:00 AM, 2:00 – 4:00 PM | Tuesday: 8:00 – 10:00 AM, 2:00 – 4:00 PM | Wednesday: 8:00 – 10:00 AM, 2:00 – 4:00 PM | Thursday: 8:00 – 10:00 AM, 2:00 – 4:00 PM | Friday: 8:00 – 10:00 AM, 2:00 – 4:00 PM | Saturday: 8:00 – 10:00 AM, 2:00 – 4:00 PM | Sunday: 8:00 – 10:00 AM, 2:00 – 4:00 PM",https://maps.google.com/?cid=7665373556737815404&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,wildlife park zoo tourist attraction park point of interest establishment
ChIJw3T9gBPa-DER0Fq3Sw25mlU,Batang Ai National Park,4.3,PRICE_LEVEL_UNSPECIFIED,Outdoor,1.2227770999999998,111.94780159999999,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=6168446106393336528&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,national park tourist attraction park point of interest establishment
ChIJB2jltixT-jERpv3vxRTzu1o,Bako National Park,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,1.7066873999999999,110.46632489999999,Monday: 8:00 AM – 5:00 PM | Tuesday: 8:00 AM – 5:00 PM | Wednesday: 8:00 AM – 5:00 PM | Thursday: 8:00 AM – 5:00 PM | Friday: 8:00 AM – 5:00 PM | Saturday: 8:00 AM – 5:00 PM | Sunday: 8:00 AM – 5:00 PM,https://maps.google.com/?cid=6538086554604141990&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,national park tourist attraction park point of interest establishment
ChIJ3b8KHQCn-zER3JLr6VFc5Gk,Sarawak Delta Geopark,5.0,PRICE_LEVEL_UNSPECIFIED,Outdoor,1.5622004999999999,110.3466753,No Opening Hours Data,https://maps.google.com/?cid=7630325175559099100&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJSd85kHSs-zERi0a0M8Ss-7Y,Bako National Park Carpark and Boat Jetty,4.3,PRICE_LEVEL_UNSPECIFIED,Outdoor,1.6635147,110.4312829,Monday: 8:00 AM – 5:00 PM | Tuesday: 8:00 AM – 5:30 PM | Wednesday: 8:00 AM – 5:00 PM | Thursday: 8:00 AM – 5:00 PM | Friday: 8:00 AM – 5:00 PM | Saturday: 8:00 AM – 5:00 PM | Sunday: 8:00 AM – 5:00 PM,https://maps.google.com/?cid=13185322292738279051&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,park tourist attraction point of interest establishment
ChIJWZ3KB5j8-jERA87DIlGOhQI,Taman Negara Talang Satang,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,1.7842703,110.1642622,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=181707839105125891&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,national park tourist attraction park point of interest establishment
