id,name,rating,price_level,indoor_outdoor,latitude,longitude,opening_time,gmaps_link,features_text
ChIJcdfvd3T0aS4RWFPBwpxqIJA,Gyeongbokgung Palace,4.6,PRICE_LEVEL_INEXPENSIVE,outdoor,37.5796,126.9770,"Monday: 09:00 – 18:00 | Tuesday: Closed | Wednesday: 09:00 – 18:00 | Thursday: 09:00 – 18:00 | Friday: 09:00 – 18:00 | Saturday: 09:00 – 18:00 | Sunday: 09:00 – 18:00",https://maps.google.com/?cid=223,tourist attraction historical palace royal residence cultural heritage ancient architecture hanbok guard changing ceremony
ChIJYaJ20FDtaS4RDNry7LknMJA,Bukchon Hanok Village,4.4,PRICE_LEVEL_FREE,outdoor,37.5826,126.9836,"Monday: 09:00 – 17:00 | Tuesday: 09:00 – 17:00 | Wednesday: 09:00 – 17:00 | Thursday: 09:00 – 17:00 | Friday: 09:00 – 17:00 | Saturday: 09:00 – 17:00 | Sunday: Closed",https://maps.google.com/?cid=224,tourist attraction historical village traditional houses hanok architecture alley scenic viewpoint photography quiet residential area
ChIJ46765_Z0aS4R22J2G-G00JA,N Seoul Tower,4.5,PRICE_LEVEL_MODERATE,indoor,37.5512,126.9882,"Monday: 10:00 – 23:00 | Tuesday: 10:00 – 23:00 | Wednesday: 10:00 – 23:00 | Thursday: 10:00 – 23:00 | Friday: 10:00 – 23:00 | Saturday: 10:00 – 23:00 | Sunday: 10:00 – 23:00",https://maps.google.com/?cid=225,tourist attraction landmark tower observation deck city skyline lock of love namsan mountain cable car sunset view
ChIJLd8_m3D0aS4RWl3b1pS3eJA,Myeongdong Shopping Street,4.3,PRICE_LEVEL_INEXPENSIVE,outdoor,37.5636,126.9856,"Monday: 10:00 – 22:00 | Tuesday: 10:00 – 22:00 | Wednesday: 10:00 – 22:00 | Thursday: 10:00 – 22:00 | Friday: 10:00 – 22:00 | Saturday: 10:00 – 22:00 | Sunday: 10:00 – 22:00",https://maps.google.com/?cid=226,tourist attraction shopping street street food cosmetics fashion stalls crowded lively foodie market
ChIJn8r5H0DtaS4R8FfK-G120JA,Dongdaemun Design Plaza,4.5,PRICE_LEVEL_INEXPENSIVE,indoor,37.5665,127.0092,"Monday: 10:00 – 20:00 | Tuesday: 10:00 – 20:00 | Wednesday: 10:00 – 20:00 | Thursday: 10:00 – 20:00 | Friday: 10:00 – 20:00 | Saturday: 10:00 – 20:00 | Sunday: 10:00 – 20:00",https://maps.google.com/?cid=227,tourist attraction architecture design museum exhibition modern futuristic architecture landmark zaha hadid photography
ChIJZ9j89_Z0aS4R22J2G-G00JA,Myeongdong Kyoja,4.4,PRICE_LEVEL_INEXPENSIVE,indoor,37.5626,126.9855,"Monday: 10:30 – 21:00 | Tuesday: 10:30 – 21:00 | Wednesday: 10:30 – 21:00 | Thursday: 10:30 – 21:00 | Friday: 10:30 – 21:00 | Saturday: 10:30 – 21:00 | Sunday: 10:30 – 21:00",https://maps.google.com/?cid=228,restaurant food kalguksu dumplings noodle michelin guide lunch dinner local food eats foodie myeongdong
ChIJH4ThicT0aS4RWFPBwpxqIJA,Starfield Library,4.6,PRICE_LEVEL_FREE,indoor,37.5118,127.0590,"Monday: 10:30 – 22:00 | Tuesday: 10:30 – 22:00 | Wednesday: 10:30 – 22:00 | Thursday: 10:30 – 22:00 | Friday: 10:30 – 22:00 | Saturday: 10:30 – 22:00 | Sunday: 10:30 – 22:00",https://maps.google.com/?cid=229,tourist attraction library mall books giant bookshelf aesthetic photography indoor cozy coex mall gangnam
ChIJS6U6gsT0aS4RWFPBwpxqIJA,Hongdae Shopping Street,4.4,PRICE_LEVEL_INEXPENSIVE,outdoor,37.5568,126.9238,"Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours",https://maps.google.com/?cid=230,tourist attraction street performance busking shopping youth culture nightlife university area fashion restaurants
ChIJf2ChD8T0aS4RWFPBwpxqIJA,Insadong Street,4.3,PRICE_LEVEL_INEXPENSIVE,outdoor,37.5744,126.9856,"Monday: 10:00 – 20:00 | Tuesday: 10:00 – 20:00 | Wednesday: 10:00 – 20:00 | Thursday: 10:00 – 20:00 | Friday: 10:00 – 20:00 | Saturday: 10:00 – 20:00 | Sunday: 10:00 – 20:00",https://maps.google.com/?cid=231,tourist attraction traditional art crafts souvenirs tea houses cultural alley calligraphy gallery historical
ChIJf2ChD8T0aS4RWFPBwpxqIJB,Cheonggyecheon Stream,4.5,PRICE_LEVEL_FREE,outdoor,37.5694,126.9786,"Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours",https://maps.google.com/?cid=232,tourist attraction stream park nature urban renewal walks relax peaceful waterside downtown
