id,name,rating,price_level,indoor_outdoor,latitude,longitude,opening_time,gmaps_link,features_text
ChIJy6BwuD-uEmsRyiRskH1UG-I,Sydney Tower Eye,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,-33.8703155,151.2088801,Monday: 11:00 AM – 7:00 PM | Tuesday: 11:00 AM – 7:00 PM | Wednesday: 11:00 AM – 7:00 PM | Thursday: 11:00 AM – 7:00 PM | Friday: 11:00 AM – 7:00 PM | Saturday: 11:00 AM – 7:00 PM | Sunday: 11:00 AM – 7:00 PM,https://maps.google.com/?cid=16292708975213552842&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,observation deck tourist attraction point of interest establishment
ChIJt9trB0euEmsR8NbepO14j3M,Darling Harbour,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,-33.874880000000005,151.2009,No Opening Hours Data,https://maps.google.com/?cid=8327007198099986160&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJWaTdYGuuEmsRoOfx-Wh9AQ8,Royal Botanic Garden Sydney,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,-33.864185899999995,151.2165708,Monday: 7:00 AM – 5:30 PM | Tuesday: 7:00 AM – 5:30 PM | Wednesday: 7:00 AM – 5:30 PM | Thursday: 7:00 AM – 5:30 PM | Friday: 7:00 AM – 5:30 PM | Saturday: 7:00 AM – 5:30 PM | Sunday: 7:00 AM – 5:30 PM,https://maps.google.com/?cid=1081283275369080736&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,botanical garden research institute tourist attraction park point of interest establishment
ChIJSytgJF2uEmsRC6q8BDZh5qA,BridgeClimb Sydney,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,-33.857439,151.2077747,No Opening Hours Data,https://maps.google.com/?cid=11594061175347522059&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJYV-J-ziuEmsRIMyoFaMedU4,SEA LIFE Sydney Aquarium,4.3,PRICE_LEVEL_UNSPECIFIED,Outdoor,-33.8695997,151.20213809999998,Monday: 10:00 AM – 4:00 PM | Tuesday: 10:00 AM – 4:00 PM | Wednesday: 10:00 AM – 4:00 PM | Thursday: 10:00 AM – 4:00 PM | Friday: 10:00 AM – 4:00 PM | Saturday: 9:30 AM – 4:00 PM | Sunday: 9:30 AM – 4:00 PM,https://maps.google.com/?cid=5653458593025412128&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,aquarium tourist attraction event venue point of interest establishment
ChIJLat3W0euEmsRCQCK0yaDjTc,WILD LIFE Sydney Zoo,4.1,PRICE_LEVEL_UNSPECIFIED,Outdoor,-33.8694129,151.2017032,Monday: 10:00 AM – 4:00 PM | Tuesday: 10:00 AM – 4:00 PM | Wednesday: 10:00 AM – 4:00 PM | Thursday: 10:00 AM – 4:00 PM | Friday: 10:00 AM – 4:00 PM | Saturday: 10:00 AM – 4:00 PM | Sunday: 10:00 AM – 4:00 PM,https://maps.google.com/?cid=4002999846583271433&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction wildlife refuge zoo park point of interest establishment
ChIJ49XqJV2uEmsRPsTAF7eOlGg,Sydney Harbour Bridge,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,-33.852306299999995,151.2107871,No Opening Hours Data,https://maps.google.com/?cid=7535804993526350910&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,bridge tourist attraction transportation service point of interest establishment
ChIJ3S-JXmauEmsRUcIaWtf4MzE,Sydney Opera House,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,-33.856784399999995,151.21529669999998,No Opening Hours Data,https://maps.google.com/?cid=3545450935484072529&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,performing arts theater opera house concert hall auditorium tourist attraction live music venue association or organization event venue point of interest establishment
ChIJDflB7BWuEmsRYPbx-Wh9AQ8,Hyde Park,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,-33.8715202,151.21162429999998,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=1081283275369084512&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,park tourist attraction point of interest establishment
ChIJYXuDOxyyEmsRtRZV6GZjGuM,Bondi to Coogee Walk,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,-33.9183926,151.2584756,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=16364501489639823029&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
