id,name,rating,price_level,indoor_outdoor,latitude,longitude,opening_time,gmaps_link,features_text
ChIJcdfvd3T0aS4RWFPBwpxqIIU,Senso-ji Temple,4.8,PRICE_LEVEL_FREE,outdoor,35.7148,139.7967,"Monday: 06:00 – 17:00 | Tuesday: 06:00 – 17:00 | Wednesday: 06:00 – 17:00 | Thursday: 06:00 – 17:00 | Friday: 06:00 – 17:00 | Saturday: 06:00 – 17:00 | Sunday: 06:00 – 17:00",https://maps.google.com/?cid=123,tourist attraction historical place shinto temple cultural heritage ancient structure asakusa landmark
ChIJYaJ20FDtaS4RDNry7LknMQc,Shibuya Crossing,4.6,PRICE_LEVEL_FREE,outdoor,35.6595,139.7004,"Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours",https://maps.google.com/?cid=124,tourist attraction landmark busy street pedestrian crossing scramble shibuya shopping entertainment photography
ChIJ46765_Z0aS4R22J2G-G00k4,Tsukiji Outer Market,4.7,PRICE_LEVEL_MODERATE,outdoor,35.6654,139.7707,"Monday: 05:00 – 14:00 | Tuesday: 05:00 – 14:00 | Wednesday: 05:00 – 14:00 | Thursday: 05:00 – 14:00 | Friday: 05:00 – 14:00 | Saturday: 05:00 – 14:00 | Sunday: Closed",https://maps.google.com/?cid=125,tourist attraction market street food seafood sushi breakfast market stalls local delicacy tsukiji shopping
ChIJLd8_m3D0aS4RWl3b1pS3eE0,Shinjuku Gyoen National Garden,4.7,PRICE_LEVEL_INEXPENSIVE,outdoor,35.6851,139.7100,"Monday: Closed | Tuesday: 09:00 – 16:30 | Wednesday: 09:00 – 16:30 | Thursday: 09:00 – 16:30 | Friday: 09:00 – 16:30 | Saturday: 09:00 – 16:30 | Sunday: 09:00 – 16:30",https://maps.google.com/?cid=126,tourist attraction park garden nature cherry blossoms ponds greenhouse scenic walk green space shinjuku
ChIJn8r5H0DtaS4R8FfK-G120m5,TeamLab Planets,4.8,PRICE_LEVEL_EXPENSIVE,indoor,35.6498,139.7948,"Monday: 10:00 – 21:00 | Tuesday: 10:00 – 21:00 | Wednesday: 10:00 – 21:00 | Thursday: 10:00 – 21:00 | Friday: 10:00 – 21:00 | Saturday: 10:00 – 21:00 | Sunday: 10:00 – 21:00",https://maps.google.com/?cid=127,tourist attraction digital art museum immersive experience interactive light show toyosu photography high tech
ChIJZ9j89_Z0aS4R22J2G-G00k7,Meiji Jingu Shrine,4.7,PRICE_LEVEL_FREE,outdoor,35.6763,139.6993,"Monday: 05:00 – 18:00 | Tuesday: 05:00 – 18:00 | Wednesday: 05:00 – 18:00 | Thursday: 05:00 – 18:00 | Friday: 05:00 – 18:00 | Saturday: 05:00 – 18:00 | Sunday: 05:00 – 18:00",https://maps.google.com/?cid=128,tourist attraction shinto shrine forest park spiritual serene historical torii gate harajuku landmarks
ChIJH4ThicT0aS4RWFPBwpxqIIU,Tokyo Tower,4.5,PRICE_LEVEL_MODERATE,indoor,35.6586,139.7454,"Monday: 09:00 – 23:00 | Tuesday: 09:00 – 23:00 | Wednesday: 09:00 – 23:00 | Thursday: 09:00 – 23:00 | Friday: 09:00 – 23:00 | Saturday: 09:00 – 23:00 | Sunday: 09:00 – 23:00",https://maps.google.com/?cid=129,tourist attraction tower observation deck city view skyline iconic landmark light show photography minato
ChIJS6U6gsT0aS4RWFPBwpxqIIV,Akihabara Electric Town,4.4,PRICE_LEVEL_MODERATE,outdoor,35.6997,139.7715,"Monday: 10:00 – 21:00 | Tuesday: 10:00 – 21:00 | Wednesday: 10:00 – 21:00 | Thursday: 10:00 – 21:00 | Friday: 10:00 – 21:00 | Saturday: 10:00 – 21:00 | Sunday: 10:00 – 21:00",https://maps.google.com/?cid=130,tourist attraction electronics anime manga gaming maid cafes pop culture shopping neon lights chiyoda
ChIJf2ChD8T0aS4RWFPBwpxqIIW,Ichiran Ramen Shibuya,4.5,PRICE_LEVEL_INEXPENSIVE,indoor,35.6600,139.7005,"Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours",https://maps.google.com/?cid=131,restaurant food ramen tonkotsu japanese noodle diner foodie shibuya local food eats dinner lunch
ChIJf2ChD8T0aS4RWFPBwpxqIIX,Harajuku Takeshita Street,4.4,PRICE_LEVEL_INEXPENSIVE,outdoor,35.6699,139.7024,"Monday: 10:00 – 20:00 | Tuesday: 10:00 – 20:00 | Wednesday: 10:00 – 20:00 | Thursday: 10:00 – 20:00 | Friday: 10:00 – 20:00 | Saturday: 10:00 – 20:00 | Sunday: 10:00 – 20:00",https://maps.google.com/?cid=132,tourist attraction shopping fashion street crepes pop culture youth culture crowded colorful harajuku
