id,name,rating,price_level,indoor_outdoor,latitude,longitude,opening_time,gmaps_link,features_text,city,country,combined_features,total_reviews,today_hours,place_type
ChIJz3y0xeIJxkcRNcogBVV41Gw,vondelpark,4.7,1,outdoor,52.3579946,4.8686484,No Opening Hours Data,https://maps.google.com/?cid=7842025157712464437&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,park tourist attraction point of interest establishment,amsterdam,netherlands,"A outdoor destination named vondelpark located in amsterdam, netherlands. This place features characteristics and experiences such as: park tourist attraction point of interest establishment. It is categorized as a destination. It is moderately priced and mid-range.",192,No Opening Hours Data,destination
ChIJ5Ra7we4JxkcRhYVAaq5zQ9U,rijksmuseum,4.7,1,outdoor,52.3599976,4.8852188,Monday: 9:00 AM – 5:00 PM | Tuesday: 9:00 AM – 5:00 PM | Wednesday: 9:00 AM – 5:00 PM | Thursday: 9:00 AM – 5:00 PM | Friday: 9:00 AM – 5:00 PM | Saturday: 9:00 AM – 5:00 PM | Sunday: 9:00 AM – 5:00 PM,https://maps.google.com/?cid=15367253546462381445&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,art museum history museum tourist attraction museum point of interest establishment,amsterdam,netherlands,"A outdoor destination named rijksmuseum located in amsterdam, netherlands. This place features characteristics and experiences such as: art museum history museum tourist attraction museum point of interest establishment. It is categorized as a destination. It is moderately priced and mid-range.",404,Monday: 9:00 AM – 5:00 PM | Tuesday: 9:00 AM – 5:00 PM | Wednesday: 9:00 AM – 5:00 PM | Thursday: 9:00 AM – 5:00 PM | Friday: 9:00 AM – 5:00 PM | Saturday: 9:00 AM – 5:00 PM | Sunday: 9:00 AM – 5:00 PM,destination
ChIJFQ6IwMYJxkcRis8dtZlOkTk,royal palace amsterdam,4.6,1,outdoor,52.3731835,4.8913758,Monday: 10:00 AM – 6:00 PM | Tuesday: 10:00 AM – 6:00 PM | Wednesday: 10:00 AM – 6:00 PM | Thursday: 10:00 AM – 6:00 PM | Friday: 10:00 AM – 6:00 PM | Saturday: 10:00 AM – 6:00 PM | Sunday: 10:00 AM – 6:00 PM,https://maps.google.com/?cid=4148183153860530058&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,castle tourist attraction museum historical place point of interest establishment,amsterdam,netherlands,"A outdoor destination named royal palace amsterdam located in amsterdam, netherlands. This place features characteristics and experiences such as: castle tourist attraction museum historical place point of interest establishment. It is categorized as a destination. It is moderately priced and mid-range.",294,Monday: 10:00 AM – 6:00 PM | Tuesday: 10:00 AM – 6:00 PM | Wednesday: 10:00 AM – 6:00 PM | Thursday: 10:00 AM – 6:00 PM | Friday: 10:00 AM – 6:00 PM | Saturday: 10:00 AM – 6:00 PM | Sunday: 10:00 AM – 6:00 PM,destination
ChIJC7Uw48AJxkcR28umcgx0C6k,dungeon amsterdam,4.5,1,outdoor,52.3701599,4.8921108,Monday: 11:00 AM – 5:00 PM | Tuesday: 11:00 AM – 5:00 PM | Wednesday: 11:00 AM – 5:00 PM | Thursday: 11:00 AM – 5:00 PM | Friday: 11:00 AM – 5:00 PM | Saturday: 11:00 AM – 7:00 PM | Sunday: 11:00 AM – 5:00 PM,https://maps.google.com/?cid=12180957213965601755&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment,amsterdam,netherlands,"A outdoor destination named dungeon amsterdam located in amsterdam, netherlands. This place features characteristics and experiences such as: tourist attraction point of interest establishment. It is categorized as a destination. It is moderately priced and mid-range.",166,Monday: 11:00 AM – 5:00 PM | Tuesday: 11:00 AM – 5:00 PM | Wednesday: 11:00 AM – 5:00 PM | Thursday: 11:00 AM – 5:00 PM | Friday: 11:00 AM – 5:00 PM | Saturday: 11:00 AM – 7:00 PM | Sunday: 11:00 AM – 5:00 PM,destination
ChIJX1rTlu8JxkcRGsV8-a4oKMI,van gogh museum,4.6,1,outdoor,52.3580757,4.8812053,Monday: 9:00 AM – 6:00 PM | Tuesday: 9:00 AM – 6:00 PM | Wednesday: 9:00 AM – 6:00 PM | Thursday: 9:00 AM – 6:00 PM | Friday: 9:00 AM – 9:00 PM | Saturday: 9:00 AM – 6:00 PM | Sunday: 9:00 AM – 6:00 PM,https://maps.google.com/?cid=13990476974401570074&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,art museum tourist attraction museum point of interest establishment,amsterdam,netherlands,"A outdoor destination named van gogh museum located in amsterdam, netherlands. This place features characteristics and experiences such as: art museum tourist attraction museum point of interest establishment. It is categorized as a destination. It is moderately priced and mid-range.",55,Monday: 9:00 AM – 6:00 PM | Tuesday: 9:00 AM – 6:00 PM | Wednesday: 9:00 AM – 6:00 PM | Thursday: 9:00 AM – 6:00 PM | Friday: 9:00 AM – 9:00 PM | Saturday: 9:00 AM – 6:00 PM | Sunday: 9:00 AM – 6:00 PM,destination
ChIJSRE-IcUJxkcRCltjPmVdmtQ,anne frank house,4.5,1,outdoor,52.3752182,4.8839765,Monday: 9:00 AM – 10:00 PM | Tuesday: 9:00 AM – 10:00 PM | Wednesday: 9:00 AM – 10:00 PM | Thursday: 9:00 AM – 10:00 PM | Friday: 9:00 AM – 10:00 PM | Saturday: 9:00 AM – 10:00 PM | Sunday: 9:00 AM – 10:00 PM,https://maps.google.com/?cid=15319659771873942282&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,museum tourist attraction non profit organization association or organization point of interest establishment,amsterdam,netherlands,"A outdoor destination named anne frank house located in amsterdam, netherlands. This place features characteristics and experiences such as: museum tourist attraction non profit organization association or organization point of interest establishment. It is categorized as a destination. It is moderately priced and mid-range.",418,Monday: 9:00 AM – 10:00 PM | Tuesday: 9:00 AM – 10:00 PM | Wednesday: 9:00 AM – 10:00 PM | Thursday: 9:00 AM – 10:00 PM | Friday: 9:00 AM – 10:00 PM | Saturday: 9:00 AM – 10:00 PM | Sunday: 9:00 AM – 10:00 PM,destination
ChIJYQCs26EJxkcRPUqKm3hTaA4,artis,4.5,1,outdoor,52.3660003,4.9165321,Monday: 9:00 AM – 6:00 PM | Tuesday: 9:00 AM – 6:00 PM | Wednesday: 9:00 AM – 6:00 PM | Thursday: 9:00 AM – 6:00 PM | Friday: 9:00 AM – 6:00 PM | Saturday: 9:00 AM – 6:00 PM | Sunday: 9:00 AM – 6:00 PM,https://maps.google.com/?cid=1038171491579611709&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,zoo aquarium tourist attraction park museum point of interest establishment,amsterdam,netherlands,"A outdoor destination named artis located in amsterdam, netherlands. This place features characteristics and experiences such as: zoo aquarium tourist attraction park museum point of interest establishment. It is categorized as a destination. It is moderately priced and mid-range.",263,Monday: 9:00 AM – 6:00 PM | Tuesday: 9:00 AM – 6:00 PM | Wednesday: 9:00 AM – 6:00 PM | Thursday: 9:00 AM – 6:00 PM | Friday: 9:00 AM – 6:00 PM | Saturday: 9:00 AM – 6:00 PM | Sunday: 9:00 AM – 6:00 PM,destination
ChIJSxklPO0JxkcRCqxBkavK008,heineken experience,4.2,1,outdoor,52.35783130000001,4.8918249,Monday: 10:30 AM – 7:30 PM | Tuesday: 10:30 AM – 7:30 PM | Wednesday: 10:30 AM – 7:30 PM | Thursday: 10:30 AM – 7:30 PM | Friday: 10:30 AM – 9:00 PM | Saturday: 10:30 AM – 9:00 PM | Sunday: 10:30 AM – 7:30 PM,https://maps.google.com/?cid=5752163987307473930&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,brewery tourist attraction manufacturer food service store point of interest establishment,amsterdam,netherlands,"A outdoor destination named heineken experience located in amsterdam, netherlands. This place features characteristics and experiences such as: brewery tourist attraction manufacturer food service store point of interest establishment. It is categorized as a restaurant. It is moderately priced and mid-range.",434,Monday: 10:30 AM – 7:30 PM | Tuesday: 10:30 AM – 7:30 PM | Wednesday: 10:30 AM – 7:30 PM | Thursday: 10:30 AM – 7:30 PM | Friday: 10:30 AM – 9:00 PM | Saturday: 10:30 AM – 9:00 PM | Sunday: 10:30 AM – 7:30 PM,restaurant
ChIJm7tV_qQJxkcRvM4CYqK9SMc,nemo science museum,4.5,1,outdoor,52.3741709,4.912325,Monday: Closed | Tuesday: 10:00 AM – 5:30 PM | Wednesday: 10:00 AM – 5:30 PM | Thursday: 10:00 AM – 5:30 PM | Friday: 10:00 AM – 5:30 PM | Saturday: 10:00 AM – 5:30 PM | Sunday: 10:00 AM – 5:30 PM,https://maps.google.com/?cid=14359935916997529276&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction museum point of interest establishment,amsterdam,netherlands,"A outdoor destination named nemo science museum located in amsterdam, netherlands. This place features characteristics and experiences such as: tourist attraction museum point of interest establishment. It is categorized as a destination. It is moderately priced and mid-range.",421,Monday: Closed | Tuesday: 10:00 AM – 5:30 PM | Wednesday: 10:00 AM – 5:30 PM | Thursday: 10:00 AM – 5:30 PM | Friday: 10:00 AM – 5:30 PM | Saturday: 10:00 AM – 5:30 PM | Sunday: 10:00 AM – 5:30 PM,destination
ChIJByw_MccJxkcRYBke2i-_GK0,ripley's believe it or not!,4.3,1,outdoor,52.3724001,4.8935666,Monday: 10:00 AM – 10:00 PM | Tuesday: 10:00 AM – 10:00 PM | Wednesday: 10:00 AM – 10:00 PM | Thursday: 10:00 AM – 10:00 PM | Friday: 10:00 AM – 10:00 PM | Saturday: 10:00 AM – 10:00 PM | Sunday: 10:00 AM – 10:00 PM,https://maps.google.com/?cid=12472929380246362464&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction museum point of interest establishment,amsterdam,netherlands,"A outdoor destination named ripley's believe it or not! located in amsterdam, netherlands. This place features characteristics and experiences such as: tourist attraction museum point of interest establishment. It is categorized as a destination. It is moderately priced and mid-range.",129,Monday: 10:00 AM – 10:00 PM | Tuesday: 10:00 AM – 10:00 PM | Wednesday: 10:00 AM – 10:00 PM | Thursday: 10:00 AM – 10:00 PM | Friday: 10:00 AM – 10:00 PM | Saturday: 10:00 AM – 10:00 PM | Sunday: 10:00 AM – 10:00 PM,destination
