id,name,rating,price_level,indoor_outdoor,latitude,longitude,opening_time,gmaps_link,features_text
ChIJq95xT4I30i0RaU3j93Diq8o,Tanah Lot,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.621213,115.086807,Monday: 6:00 AM – 7:00 PM | Tuesday: 6:00 AM – 7:00 PM | Wednesday: 6:00 AM – 7:00 PM | Thursday: 6:00 AM – 7:00 PM | Friday: 6:00 AM – 7:00 PM | Saturday: 6:00 AM – 7:00 PM | Sunday: 6:00 AM – 7:00 PM,https://maps.google.com/?cid=14604015191502048617&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,hindu temple tourist attraction place of worship association or organization point of interest establishment
ChIJZ5sY9kM90i0RVsPvSxZD7LY,Sacred Monkey Forest Sanctuary,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.5193727,115.26062990000001,Monday: 9:00 AM – 5:00 PM | Tuesday: 9:00 AM – 5:00 PM | Wednesday: 9:00 AM – 5:00 PM | Thursday: 9:00 AM – 5:00 PM | Friday: 9:00 AM – 5:00 PM | Saturday: 9:00 AM – 5:00 PM | Sunday: 9:00 AM – 5:00 PM,https://maps.google.com/?cid=13180983972448944982&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,nature preserve tourist attraction park point of interest establishment
ChIJx97hVM9E0i0RUVpPBj5miBk,Garuda Wisnu Kencana Cultural Park,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.8101936,115.1680614,Monday: 8:00 AM – 9:30 PM | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: 9:00 AM – 10:00 PM | Friday: 9:00 AM – 10:00 PM | Saturday: 8:00 AM – 10:00 PM | Sunday: 8:00 AM – 9:00 PM,https://maps.google.com/?cid=1839832864360716881&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction park point of interest establishment
ChIJ4wD5Iwsi0i0R7QRsOGmJGo0,Tegallalang Rice Terrace,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.431711199999999,115.279303,Monday: 8:00 AM – 6:00 PM | Tuesday: 8:00 AM – 6:00 PM | Wednesday: 8:00 AM – 6:00 PM | Thursday: 8:00 AM – 6:00 PM | Friday: 8:00 AM – 6:00 PM | Saturday: 8:00 AM – 6:00 PM | Sunday: 8:00 AM – 6:00 PM,https://maps.google.com/?cid=10167590193753490669&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,scenic spot tourist attraction point of interest establishment
ChIJ-9cMAqsn0i0RmoPm81-HDy8,Jatiluwih Rice Terraces,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.3700942,115.1312269,Monday: 6:00 AM – 7:00 PM | Tuesday: 6:00 AM – 7:00 PM | Wednesday: 6:00 AM – 7:00 PM | Thursday: 6:00 AM – 7:00 PM | Friday: 6:00 AM – 7:00 PM | Saturday: 6:00 AM – 7:00 PM | Sunday: 6:00 AM – 7:00 PM,https://maps.google.com/?cid=3391077890616886170&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJ0Zo39DZH0i0R0acI0bADr2U,Tirta Gangga,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.4123473,115.5872919,Monday: 6:00 AM – 7:00 PM | Tuesday: 6:00 AM – 7:00 PM | Wednesday: 6:00 AM – 7:00 PM | Thursday: 6:00 AM – 7:00 PM | Friday: 6:00 AM – 7:00 PM | Saturday: 6:00 AM – 7:00 PM | Sunday: 6:00 AM – 7:00 PM,https://maps.google.com/?cid=7327079176711219153&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJ34KP7qNG0i0RpX9A85PWkRI,Waterbom Bali,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.728581499999999,115.1692888,Monday: 9:00 AM – 6:00 PM | Tuesday: 9:00 AM – 6:00 PM | Wednesday: 9:00 AM – 6:00 PM | Thursday: 9:00 AM – 6:00 PM | Friday: 9:00 AM – 6:00 PM | Saturday: 9:00 AM – 6:00 PM | Sunday: 9:00 AM – 6:00 PM,https://maps.google.com/?cid=1338086495235375013&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,water park amusement park tourist attraction point of interest establishment
ChIJo-YhLEkj0i0RwrBdmWw4Fbc,Sangeh Monkey Forest,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.4818231,115.20646409999999,Monday: 8:00 AM – 5:00 PM | Tuesday: 8:00 AM – 5:00 PM | Wednesday: 8:00 AM – 5:00 PM | Thursday: 8:00 AM – 5:00 PM | Friday: 8:00 AM – 5:00 PM | Saturday: 8:00 AM – 5:00 PM | Sunday: 8:00 AM – 5:00 PM,https://maps.google.com/?cid=13192512722532413634&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,park tourist attraction point of interest establishment
ChIJ8c9PQP2P0S0RNJMC6i4k8iQ,Aling-Aling Waterfall,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.1746122,115.1047284,No Opening Hours Data,https://maps.google.com/?cid=2662230113642517300&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJ7yfO4n2P0S0RiKUeI1xVpyg,SEKUMPUL WATERFALL OFFICIAL (POST 1),4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.171880699999999,115.18621160000001,Monday: 8:00 AM – 5:00 PM | Tuesday: 8:00 AM – 5:00 PM | Wednesday: 8:00 AM – 5:00 PM | Thursday: 8:00 AM – 5:00 PM | Friday: 8:00 AM – 5:00 PM | Saturday: 8:00 AM – 6:00 PM | Sunday: 8:00 AM – 6:00 PM,https://maps.google.com/?cid=2929403936842360200&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJL1XuIURB0i0RNRhRbMMJMLI,Upside Down World Bali,4.2,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.7166743,115.20523310000002,Monday: 9:00 AM – 6:00 PM | Tuesday: 9:00 AM – 6:00 PM | Wednesday: 9:00 AM – 6:00 PM | Thursday: 9:00 AM – 6:00 PM | Friday: 9:00 AM – 6:00 PM | Saturday: 9:00 AM – 6:00 PM | Sunday: 9:00 AM – 6:00 PM,https://maps.google.com/?cid=12839773272573810741&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJdegEep2P0S0RlyNNjuDZzE4,Banyumala Waterfall,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.217187299999999,115.1016811,Monday: 8:00 AM – 6:00 PM | Tuesday: 8:00 AM – 6:00 PM | Wednesday: 8:00 AM – 6:00 PM | Thursday: 8:00 AM – 6:00 PM | Friday: 8:00 AM – 6:00 PM | Saturday: 8:00 AM – 6:00 PM | Sunday: 8:00 AM – 6:00 PM,https://maps.google.com/?cid=5678152788690674583&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJwwCS2XFA0i0RwGKRquRfi2s,Big Garden Corner,4.3,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.6568135,115.2532579,Monday: 9:00 AM – 6:00 PM | Tuesday: 9:00 AM – 6:00 PM | Wednesday: 9:00 AM – 6:00 PM | Thursday: 9:00 AM – 6:00 PM | Friday: 9:00 AM – 6:00 PM | Saturday: 9:00 AM – 6:00 PM | Sunday: 9:00 AM – 6:00 PM,https://maps.google.com/?cid=7749393019539907264&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJkYHLIPxP0i0RlQTbpxuNuQw,Uluwatu Temple,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.829143199999999,115.08490690000001,Monday: 7:00 AM – 7:00 PM | Tuesday: 7:00 AM – 7:00 PM | Wednesday: 7:00 AM – 7:00 PM | Thursday: 7:00 AM – 7:00 PM | Friday: 7:00 AM – 7:00 PM | Saturday: 7:00 AM – 7:00 PM | Sunday: 7:00 AM – 7:00 PM,https://maps.google.com/?cid=916919149066388629&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,hindu temple tourist attraction performing arts theater event venue place of worship association or organization point of interest establishment
ChIJv_tYCBIX0i0Rn_MGS2i_Kpc,Goa Rang Reng Waterfall,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.5155934,115.3313441,Monday: 8:00 AM – 6:00 PM | Tuesday: 8:00 AM – 6:00 PM | Wednesday: 8:00 AM – 6:00 PM | Thursday: 9:00 AM – 5:00 PM | Friday: 8:00 AM – 6:00 PM | Saturday: 8:00 AM – 6:00 PM | Sunday: 8:00 AM – 6:00 PM,https://maps.google.com/?cid=10892729103405216671&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJNzuaSiSP0S0RTFO-fUj1eUY,Sekumpul Waterfalls Official Parking,3.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.1774263,115.18259789999998,Monday: 8:00 AM – 5:00 PM | Tuesday: 8:00 AM – 5:00 PM | Wednesday: 8:00 AM – 5:00 PM | Thursday: 8:00 AM – 5:00 PM | Friday: 8:00 AM – 5:00 PM | Saturday: 8:00 AM – 5:00 PM | Sunday: 8:00 AM – 5:00 PM,https://maps.google.com/?cid=5078359746533020492&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction transportation service point of interest establishment
ChIJ6yVDK2490i0R5XJsZk1gu6M,My Swing Bali,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.4931824,115.2404207,Monday: 8:00 AM – 6:00 PM | Tuesday: 8:00 AM – 6:00 PM | Wednesday: 8:00 AM – 6:00 PM | Thursday: 8:00 AM – 6:00 PM | Friday: 8:00 AM – 6:00 PM | Saturday: 8:00 AM – 6:00 PM | Sunday: 8:00 AM – 6:00 PM,https://maps.google.com/?cid=11798129534374277861&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction sports activity location lodging restaurant service food point of interest establishment
ChIJD0zF-k4-0i0RLDhW9qwgiV8,Bali Bird Park,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.5996431,115.2520569,Monday: 8:30 AM – 5:30 PM | Tuesday: 8:30 AM – 5:30 PM | Wednesday: 8:30 AM – 5:30 PM | Thursday: 8:30 AM – 5:30 PM | Friday: 8:30 AM – 5:30 PM | Saturday: 8:30 AM – 5:30 PM | Sunday: 8:30 AM – 5:30 PM,https://maps.google.com/?cid=6884069432651823148&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,zoo tourist attraction wildlife park park point of interest establishment
ChIJC7KcfoFv0i0ReRXz2tOmixY,Angel's Billabong,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.7335003,115.44897879999998,No Opening Hours Data,https://maps.google.com/?cid=1624575519438869881&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJYQy97hsW0i0RXgxBuN15rsE,Tegenungan Waterfall,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.5753621,115.2889599,No Opening Hours Data,https://maps.google.com/?cid=13956226288453749854&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,scenic spot tourist attraction point of interest establishment
ChIJR7MWORA90i0Rj7ugb0Lss4g,This Is Bali - Balinese Food & Desserts,4.9,PRICE_LEVEL_MODERATE,Indoor,-8.5081513,115.2642473,Monday: 11:00 AM – 11:00 PM | Tuesday: 11:00 AM – 11:00 PM | Wednesday: 11:00 AM – 11:00 PM | Thursday: 11:00 AM – 11:00 PM | Friday: 11:00 AM – 11:00 PM | Saturday: 11:00 AM – 11:00 PM | Sunday: 11:00 AM – 11:00 PM,https://maps.google.com/?cid=9850476580074208143&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,indonesian restaurant restaurant food point of interest establishment
ChIJi7uXp2o90i0RU5vJCtDVtSQ,Donna,4.8,PRICE_LEVEL_UNSPECIFIED,Indoor,-8.5130447,115.26071840000002,Monday: 11:30 AM – 12:00 AM | Tuesday: 11:30 AM – 12:00 AM | Wednesday: 11:30 AM – 12:00 AM | Thursday: 11:30 AM – 12:00 AM | Friday: 11:30 AM – 12:00 AM | Saturday: 11:30 AM – 12:00 AM | Sunday: 11:30 AM – 12:00 AM,https://maps.google.com/?cid=2645255445660932947&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,restaurant cocktail bar hookah bar food bar association or organization point of interest establishment
ChIJ28dn2hdH0i0RMJGidoQ8ilw,Mamasan Bali,4.6,PRICE_LEVEL_MODERATE,Indoor,-8.6821655,115.16477159999998,"Monday: 12:00 – 2:30 PM, 5:30 – 10:30 PM | Tuesday: 12:00 – 2:30 PM, 5:30 – 10:30 PM | Wednesday: 12:00 – 2:30 PM, 5:30 – 10:30 PM | Thursday: 12:00 – 2:30 PM, 5:30 – 10:30 PM | Friday: 12:00 – 2:30 PM, 5:30 – 10:30 PM | Saturday: 12:00 – 2:30 PM, 5:30 – 10:30 PM | Sunday: 12:00 – 2:30 PM, 5:30 – 10:30 PM",https://maps.google.com/?cid=6668208737899155760&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,asian restaurant lounge bar cocktail bar wine bar vietnamese restaurant thai restaurant chinese restaurant night club restaurant food bar point of interest establishment
ChIJy0JszGxH0i0RocRhbrUkd1w,Ling-Ling's Bali,4.8,PRICE_LEVEL_MODERATE,Indoor,-8.6740623,115.15740470000001,Monday: 11:00 AM – 12:00 AM | Tuesday: 11:00 AM – 12:00 AM | Wednesday: 11:00 AM – 12:00 AM | Thursday: 11:00 AM – 12:00 AM | Friday: 11:00 AM – 12:00 AM | Saturday: 11:00 AM – 12:00 AM | Sunday: 11:00 AM – 12:00 AM,https://maps.google.com/?cid=6662834535377519777&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,asian restaurant cocktail bar sushi restaurant diner meal takeaway japanese restaurant asian fusion restaurant fusion restaurant restaurant food bar point of interest establishment
ChIJ73lUt35B0i0RSP4VceaHrag,Lava Gastrobar & Grill,4.9,PRICE_LEVEL_UNSPECIFIED,Indoor,-8.704552699999999,115.2586174,Monday: 8:00 AM – 11:00 PM | Tuesday: 8:00 AM – 11:00 PM | Wednesday: 8:00 AM – 11:00 PM | Thursday: 8:00 AM – 11:00 PM | Friday: 8:00 AM – 11:00 PM | Saturday: 8:00 AM – 11:00 PM | Sunday: 8:00 AM – 11:00 PM,https://maps.google.com/?cid=12154520393152331336&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,bar and grill gastropub cocktail bar live music venue restaurant food bar event venue point of interest establishment
