id,name,rating,price_level,indoor_outdoor,latitude,longitude,opening_time,gmaps_link,features_text
ChIJu3qmEsTFaS4R5X6jRWs88nU,Bogor Botanical Gardens,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.5976289,106.7995698,Monday: 8:00 AM – 4:00 PM | Tuesday: 8:00 AM – 4:00 PM | Wednesday: 8:00 AM – 4:00 PM | Thursday: 8:00 AM – 4:00 PM | Friday: 8:00 AM – 4:00 PM | Saturday: 7:00 AM – 4:00 PM | Sunday: 7:00 AM – 4:00 PM,https://maps.google.com/?cid=8498921878229057253&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,botanical garden tourist attraction park point of interest establishment
ChIJ8xmm613PaS4RBLnoMfATWkg,The Jungle Waterpark Bogor,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.6344794,106.7949215,Monday: 9:00 AM – 5:00 PM | Tuesday: 9:00 AM – 5:00 PM | Wednesday: 9:00 AM – 5:00 PM | Thursday: 9:00 AM – 5:00 PM | Friday: 9:00 AM – 5:00 PM | Saturday: 9:00 AM – 5:00 PM | Sunday: 9:00 AM – 5:00 PM,https://maps.google.com/?cid=5213501440985184516&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,water park tourist attraction amusement park sports activity location point of interest establishment
ChIJM62_N4XFaS4RpOWeZ1cd4U0,Kampung Labirin,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.6080271999999995,106.8065876,Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: Closed | Friday: Closed | Saturday: 10:00 AM – 3:00 PM | Sunday: 10:00 AM – 3:00 PM,https://maps.google.com/?cid=5611798871918175652&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJkbSRr8XFaS4RtXhmDR_7ITk,Gunting Lake Kebun Raya Bogor,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.6003367,106.7978054,Monday: 7:30 AM – 5:00 PM | Tuesday: 7:30 AM – 5:00 PM | Wednesday: 7:30 AM – 5:00 PM | Thursday: 7:30 AM – 5:00 PM | Friday: 7:30 AM – 5:00 PM | Saturday: 7:30 AM – 5:00 PM | Sunday: 7:30 AM – 5:00 PM,https://maps.google.com/?cid=4116847645180721333&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction national park park botanical garden point of interest establishment
ChIJUzxTq9XPaS4RKRG_pEF2QvY,Nangka Waterfall,4.3,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.6690656,106.7264075,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=17744875506102112553&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction nature preserve national park park hiking area sports activity location point of interest establishment
ChIJ4YPJSMHFaS4RD0r-B2I3Vnc,LAWANG SURYAKANCANA,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.6032728999999994,106.79890979999999,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=8599121432690969103&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction historical landmark historical place point of interest establishment
ChIJt_Go7czFaS4Rk9zb3EkzQH0,Taman Kencana,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.588824,106.8019101,Monday: 7:00 AM – 10:00 PM | Tuesday: 7:00 AM – 10:00 PM | Wednesday: 7:00 AM – 10:00 PM | Thursday: 7:00 AM – 10:00 PM | Friday: 7:00 AM – 10:00 PM | Saturday: 7:00 AM – 10:00 PM | Sunday: 7:00 AM – 10:00 PM,https://maps.google.com/?cid=9025270045581499539&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,city park tourist attraction park point of interest establishment
ChIJM3LVAMTFaS4RFmbOu-3QVRM,Mexico Garden,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.6022434,106.8003444,Monday: 8:00 AM – 5:00 PM | Tuesday: 8:00 AM – 5:00 PM | Wednesday: 8:00 AM – 5:00 PM | Thursday: 8:00 AM – 5:00 PM | Friday: 8:00 AM – 5:00 PM | Saturday: 8:00 AM – 5:00 PM | Sunday: 8:00 AM – 5:00 PM,https://maps.google.com/?cid=1393249379217729046&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,city park tourist attraction park garden point of interest establishment
ChIJRYWXKgLFaS4RXhF2-G9qbEw,Tepas Salapan Lawang Dasakreta,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.6014713,106.8050773,No Opening Hours Data,https://maps.google.com/?cid=5506893473509675358&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJVdsoqGbFaS4RIjK3D5yU4i4,Akuatik Park,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.6007929,106.800734,No Opening Hours Data,https://maps.google.com/?cid=3378426068480766498&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,park tourist attraction point of interest establishment
