id,name,rating,price_level,indoor_outdoor,latitude,longitude,opening_time,gmaps_link,features_text
ChIJ80Y_mpkckUcRR7Rqqut2Sx4,Freiburg Cathedral,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,47.995582399999996,7.852789499999999,No Opening Hours Data,https://maps.google.com/?cid=2182969198939649095&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction church place of worship association or organization point of interest establishment
ChIJrxwiYAsbkUcROajgYndeBJE,Seepark Freiburg,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.0126664,7.8203686,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=10449580902259402809&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,park tourist attraction point of interest establishment
ChIJ2V7jMoc5kUcRoK3y_wQ0txQ,Europa-Park,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.2660194,7.7220076,Monday: 9:00 AM – 6:00 PM | Tuesday: 9:00 AM – 6:00 PM | Wednesday: 9:00 AM – 6:00 PM | Thursday: 9:00 AM – 6:00 PM | Friday: 9:00 AM – 6:00 PM | Saturday: 9:00 AM – 6:00 PM | Sunday: 9:00 AM – 6:00 PM,https://maps.google.com/?cid=1492718997575216544&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,amusement park tourist attraction point of interest establishment
ChIJYYz_cUkdkUcRTBnvlTO2FZo,Schwabentor,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,47.993002399999995,7.8541387,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=11102980789026888012&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJ0c112J4ckUcRBJQP3nQ5jvQ,Martinstor,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,47.9936972,7.848922299999999,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=17622085566051881988&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,historical landmark landmark tourist attraction historical place point of interest establishment
ChIJ49zvdJcckUcRO3LE-7g5rF0,Kanonenplatz,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,47.9933401,7.8571766,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=6749833408182252091&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,scenic spot tourist attraction point of interest establishment
ChIJQ1oxhpAckUcRrtBSR0aSIY4,Stadtgarten Freiburg,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,47.9981645,7.8576265,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=10241627858159194286&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,garden tourist attraction city park park point of interest establishment
ChIJ7z_6a4cckUcR6Zy4RjS60ys,Universität Freiburg Botanical Garden,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.0086832,7.8558557,Monday: 8:00 AM – 6:00 PM | Tuesday: 8:00 AM – 6:00 PM | Wednesday: 8:00 AM – 6:00 PM | Thursday: 8:00 AM – 6:00 PM | Friday: 8:00 AM – 6:00 PM | Saturday: 8:00 AM – 6:00 PM | Sunday: 8:00 AM – 6:00 PM,https://maps.google.com/?cid=3158072497404419305&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,botanical garden tourist attraction point of interest establishment
ChIJER11rJYckUcRDGvpaq_Oo5U,Aussichtsturm Schlossberg,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,47.99508530000001,7.8619333,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=10782689185663380236&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,observation deck tourist attraction hiking area sports activity location point of interest establishment
ChIJ3waKVJgckUcRXOHQKFEzPD4,Augustiner Museum,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,47.9940119,7.8524901,Monday: Closed | Tuesday: 10:00 AM – 5:00 PM | Wednesday: 10:00 AM – 5:00 PM | Thursday: 10:00 AM – 5:00 PM | Friday: 10:00 AM – 7:00 PM | Saturday: 10:00 AM – 5:00 PM | Sunday: 10:00 AM – 5:00 PM,https://maps.google.com/?cid=4484515752624316764&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,museum tourist attraction point of interest establishment
ChIJ5Sa_TvQakUcR6hRXY4biviM,Mundenhof Tier-Natur-Erlebnispark,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.016447199999995,7.7780524,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=2575745103722648810&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,zoo tourist attraction park point of interest establishment
ChIJr6OAyp4ckUcRLfGfS8ahftg,Bertoldsbrunnen,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,47.9948927,7.849864899999999,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=15600084032302346541&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,historical landmark tourist attraction historical place point of interest establishment
ChIJ9Z59XbEDmkcRL1pF2TBwziI,Hohenzollern Castle,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.3235588,8.9674035,Monday: 10:00 AM – 5:00 PM | Tuesday: 10:00 AM – 5:00 PM | Wednesday: 10:00 AM – 5:00 PM | Thursday: 10:00 AM – 5:00 PM | Friday: 10:00 AM – 5:00 PM | Saturday: 10:00 AM – 5:00 PM | Sunday: 10:00 AM – 5:00 PM,https://maps.google.com/?cid=2508065397597887023&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,castle beer garden tourist attraction historical place bar restaurant food point of interest establishment
ChIJ-dsjM2IbkUcRo2ZzQKPgukw,Planetarium Freiburg,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,47.999116300000004,7.8430138,No Opening Hours Data,https://maps.google.com/?cid=5528978484316300963&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,planetarium tourist attraction educational institution point of interest establishment
ChIJdfnmxp0ckUcRSAGF3fBg4ow,Colombipark,4.1,PRICE_LEVEL_UNSPECIFIED,Outdoor,47.9974395,7.8465235,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=10151783097671418184&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,park tourist attraction point of interest establishment
ChIJUbXTc5kckUcRngz1k3SJWSo,Historical Merchants' Hall,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,47.995,7.852777799999999,No Opening Hours Data,https://maps.google.com/?cid=3051621356311743646&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,event venue tourist attraction point of interest establishment
ChIJcVw_kiMdkUcRT1jHnGkPDZA,Isfahan,4.9,PRICE_LEVEL_UNSPECIFIED,Outdoor,47.99635,7.8493813999999995,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=10379969662435153999&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJ9TqIdj4Vl0cR8CtehapfSOc,Treetop Walk Black Forest,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.750358399999996,8.5357728,Monday: 9:30 AM – 6:00 PM | Tuesday: 9:30 AM – 6:00 PM | Wednesday: 9:30 AM – 6:00 PM | Thursday: 9:30 AM – 6:00 PM | Friday: 9:30 AM – 6:00 PM | Saturday: 9:30 AM – 6:00 PM | Sunday: 9:30 AM – 6:00 PM,https://maps.google.com/?cid=16665675607071140848&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction hiking area sports activity location point of interest establishment
ChIJYwhdbmQdkUcRr8koxLi7nkw,Mammutbaum,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.0018994,7.860311399999999,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=5521056595442190767&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJm-D2r0IdkUcR5ogGlQZXkqo,Konviktstraße,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,47.994286,7.854685099999998,No Opening Hours Data,https://maps.google.com/?cid=12290982018829158630&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJc3d40p4ckUcRIXc2hYUIlLY,Großer Meyerhof,4.4,PRICE_LEVEL_MODERATE,Indoor,47.9941817,7.8500868,Monday: 11:30 AM – 11:00 PM | Tuesday: 11:30 AM – 11:00 PM | Wednesday: 11:30 AM – 11:00 PM | Thursday: 11:30 AM – 12:00 AM | Friday: 11:30 AM – 12:00 AM | Saturday: 11:30 AM – 12:00 AM | Sunday: Closed,https://maps.google.com/?cid=13156149781014673185&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,german restaurant european restaurant restaurant food point of interest establishment
