id,name,rating,price_level,indoor_outdoor,latitude,longitude,opening_time,gmaps_link,features_text
ChIJcdfvd3T0aS4RWFPBwpxqIIU,Ancol Taman Impian,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.1253087,106.8335381,Monday: 6:00 AM – 11:00 PM | Tuesday: 6:00 AM – 11:00 PM | Wednesday: 6:00 AM – 11:00 PM | Thursday: 6:00 AM – 11:00 PM | Friday: 6:00 AM – 11:00 PM | Saturday: 6:00 AM – 11:00 PM | Sunday: 6:00 AM – 11:00 PM,https://maps.google.com/?cid=9592784427814048600&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction sports activity location point of interest establishment
ChIJYaJ20FDtaS4RDNry7LknMQc,Taman Mini Indonesia Indah,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.3044926,106.88933879999999,Monday: 6:00 AM – 8:00 PM | Tuesday: 6:00 AM – 8:00 PM | Wednesday: 6:00 AM – 8:00 PM | Thursday: 6:00 AM – 8:00 PM | Friday: 6:00 AM – 8:00 PM | Saturday: 6:00 AM – 8:00 PM | Sunday: 6:00 AM – 8:00 PM,https://maps.google.com/?cid=518239111622089228&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction park museum amusement center amusement park point of interest establishment
ChIJ7RcAlCrsaS4RM4GToNQSzt8,Wisata Kota Tua Jakarta,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.1350687,106.81367949999999,Monday: 8:00 AM – 9:00 PM | Tuesday: 8:00 AM – 9:00 PM | Wednesday: 8:00 AM – 9:00 PM | Thursday: 8:00 AM – 9:00 PM | Friday: 8:00 AM – 9:00 PM | Saturday: 8:00 AM – 9:00 PM | Sunday: 8:00 AM – 9:00 PM,https://maps.google.com/?cid=16126848020096713011&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction travel agency museum service point of interest establishment
ChIJLbFk59L1aS4RyLzp4OHWKj0,National Monument,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.175308299999999,106.8271106,Monday: Closed | Tuesday: 8:00 AM – 9:00 PM | Wednesday: 8:00 AM – 9:00 PM | Thursday: 8:00 AM – 9:00 PM | Friday: 8:00 AM – 9:00 PM | Saturday: 8:00 AM – 9:00 PM | Sunday: 8:00 AM – 9:00 PM,https://maps.google.com/?cid=4407571450964851912&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,monument tourist attraction point of interest establishment
ChIJuX4ccZQdai4RSmf2-3ePdUc,Jakarta Old Town,4.1,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.135502799999999,106.81193959999999,No Opening Hours Data,https://maps.google.com/?cid=5149179494459139914&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJ7V-PP_8dai4RMqvOj2luU_I,Taman Fatahillah,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.134669,106.8132041,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=17461421579908852530&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,historical landmark tourist attraction historical place park point of interest establishment
ChIJfaWSQv8dai4RRQeMZy0D8BI,Jakarta History Museum,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.135182800000001,106.8133498,Monday: Closed | Tuesday: 9:00 AM – 3:00 PM | Wednesday: 9:00 AM – 3:00 PM | Thursday: 9:00 AM – 3:00 PM | Friday: 9:00 AM – 3:00 PM | Saturday: 9:00 AM – 3:00 PM | Sunday: 9:00 AM – 3:00 PM,https://maps.google.com/?cid=1364594180638902085&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,history museum tourist attraction museum point of interest establishment
ChIJ2UuMDP_1aS4Rqi17BB8xXP0,Jembatan Phinisi,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.2132003,106.8197268,No Opening Hours Data,https://maps.google.com/?cid=18256520998742076842&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJB1Svq5_2aS4RmQyBLA0cPSQ,Selamat Datang Monument,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.1950050999999995,106.8230439,No Opening Hours Data,https://maps.google.com/?cid=2611274201851563161&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,monument tourist attraction point of interest establishment
ChIJv0uKBdT1aS4RMm701q_set8,Taman Pandang Istana,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,-6.1721641,106.8233829,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=16103443657586404914&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,park tourist attraction point of interest establishment
