id,name,rating,price_level,indoor_outdoor,latitude,longitude,opening_time,gmaps_link,features_text
ChIJD87VUP_VzS0RM4YPd7ICqSE,Sendang Gile Waterfall,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.306241199999999,116.4083416,Monday: 7:00 AM – 5:00 PM | Tuesday: 7:00 AM – 5:00 PM | Wednesday: Closed | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: 7:00 AM – 5:00 PM | Sunday: 7:00 AM – 5:00 PM,https://maps.google.com/?cid=2425472839840663091&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJW0sW3OfVzS0RpyFtxzLWz4s,Tiu Kelep Waterfall,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.312742499999999,116.40411089999998,No Opening Hours Data,https://maps.google.com/?cid=10074506405033615783&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJn1laO6izzS0RzIjQ0qj2jA8,Bukit Merese,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.9139299,116.3190063,No Opening Hours Data,https://maps.google.com/?cid=1120541612260231372&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction hiking area sports activity location point of interest establishment
ChIJ_____3vMzS0RpV-XoZGa9rw,Benang Stokel and Benang Kelambu Waterfall,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.535323499999999,116.34276489999998,Monday: 7:30 AM – 6:00 PM | Tuesday: 7:30 AM – 6:00 PM | Wednesday: 7:30 AM – 6:00 PM | Thursday: 7:30 AM – 6:00 PM | Friday: 7:30 AM – 6:00 PM | Saturday: 7:30 AM – 6:00 PM | Sunday: 7:30 AM – 6:00 PM,https://maps.google.com/?cid=13616240473673260965&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction lodging point of interest establishment
ChIJ-fSDAAAvzC0R_bLMnwjxnVc,Bukit Selong,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.3652742,116.5400344,No Opening Hours Data,https://maps.google.com/?cid=6313467271986328317&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJ131RMF7dzS0RerB9i8JNu-w,Gili Meno beach,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.3537863,116.06165139999999,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=17058313511555149946&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJM3tV_EanzS0R0lSS2KrtoXM,Mawi Beach,4.1,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.887783599999999,116.1606752,Monday: 6:00 AM – 6:30 PM | Tuesday: 6:00 AM – 6:00 PM | Wednesday: 6:00 AM – 6:00 PM | Thursday: 6:00 AM – 6:00 PM | Friday: 6:00 AM – 6:00 PM | Saturday: 6:00 AM – 6:00 PM | Sunday: 6:00 AM – 6:00 PM,https://maps.google.com/?cid=8332202103645820114&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJXWDzchvozS0RgN32LMJTi-0,Malimbu Hill,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.4431424,116.033795,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=17116866902194838912&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJ-UivCCIBzS0RnicSiHrkyOU,Taman Wisata Alam Gunung Tunak,4.2,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.9110513,116.3809577,Monday: 7:00 AM – 6:00 PM | Tuesday: 7:00 AM – 6:30 PM | Wednesday: 7:00 AM – 6:30 PM | Thursday: 7:00 AM – 6:30 PM | Friday: 7:00 AM – 6:30 PM | Saturday: 7:00 AM – 6:30 PM | Sunday: Closed,https://maps.google.com/?cid=16557735244947662750&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction lodging point of interest establishment
ChIJHT8cuiHNzS0Rx9yqK16wWQU,Senaru Crater Rim,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,-8.3847332,116.40014230000001,Monday: 7:00 AM – 3:00 PM | Tuesday: 7:00 AM – 3:00 PM | Wednesday: 7:00 AM – 3:00 PM | Thursday: 7:00 AM – 3:00 PM | Friday: 7:00 AM – 3:00 PM | Saturday: 7:00 AM – 3:00 PM | Sunday: 7:00 AM – 3:00 PM,https://maps.google.com/?cid=385533161622920391&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
