id,name,rating,price_level,indoor_outdoor,latitude,longitude,opening_time,gmaps_link,features_text
ChIJn1gfkil3Oy4RwYXcspqjY7I,Sekanak Sidewalk,4.3,PRICE_LEVEL_UNSPECIFIED,Outdoor,-2.9915103999999997,104.75607769999999,Monday: Open 24 hours | Tuesday: Closed | Wednesday: Closed | Thursday: Closed | Friday: Closed | Saturday: Open 24 hours | Sunday: Closed,https://maps.google.com/?cid=12854297646266615233&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJUaOjZVKcOy4RXh7IrQSx8fk,Palembang Bird Park,4.3,PRICE_LEVEL_UNSPECIFIED,Outdoor,-3.0366659000000005,104.78859179999999,Monday: 10:00 AM – 6:00 PM | Tuesday: 10:00 AM – 6:00 PM | Wednesday: 10:00 AM – 6:00 PM | Thursday: 10:00 AM – 6:00 PM | Friday: 10:00 AM – 6:00 PM | Saturday: 10:00 AM – 6:00 PM | Sunday: 10:00 AM – 6:00 PM,https://maps.google.com/?cid=18010371018484883038&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,amusement park amusement center tourist attraction sports activity location point of interest establishment
ChIJ_____z92Oy4R9UeEDyg1TIo,Sultan Mahmud Badaruddin I Jayo Wikramo Great Mosque,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,-2.9879170999999998,104.76020299999999,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=9965398521639356405&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,mosque tourist attraction place of worship association or organization point of interest establishment
ChIJ0WDifAN2Oy4RGFnTD-8BBM8,Sultan Mahmud Badaruddin II Museum,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,-2.9901709,104.7614097,Monday: Closed | Tuesday: 8:00 AM – 4:00 PM | Wednesday: 8:00 AM – 4:00 PM | Thursday: 8:00 AM – 4:00 PM | Friday: 8:00 AM – 4:00 PM | Saturday: 9:00 AM – 3:00 PM | Sunday: 9:00 AM – 3:00 PM,https://maps.google.com/?cid=14917049992032246040&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,museum tourist attraction point of interest establishment
ChIJBRptXwCfOy4R8Ru8dRs0UFo,Bukit Siguntang,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,-2.9971802,104.72516619999999,No Opening Hours Data,https://maps.google.com/?cid=6507758754094390257&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJN5LIBgV2Oy4R9J3hs9Nl88w,Bundaran Air Mancur Cempaka Telok Palembang,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,-2.9880621,104.7610344,No Opening Hours Data,https://maps.google.com/?cid=14768259563008400884&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJoX41VZV0Oy4RXDdujB399YY,Amanzi Waterpark,4.3,PRICE_LEVEL_UNSPECIFIED,Outdoor,-2.9379402999999997,104.6836213,Monday: Closed | Tuesday: 10:00 AM – 6:00 PM | Wednesday: 10:00 AM – 6:00 PM | Thursday: 10:00 AM – 6:00 PM | Friday: 10:00 AM – 6:00 PM | Saturday: 10:00 AM – 6:00 PM | Sunday: 8:00 AM – 6:00 PM,https://maps.google.com/?cid=9724957273728366428&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,water park amusement park tourist attraction point of interest establishment
ChIJqybWvgN2Oy4RsuP3QwCiJoI,Benteng Kuto Besak,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,-2.9913138999999997,104.7592019,No Opening Hours Data,https://maps.google.com/?cid=9378361396069655474&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,historical landmark tourist attraction historical place point of interest establishment
ChIJT680VAB3Oy4RGz9Z-5z2uP4,Jembatan Ampera,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,-2.9920521,104.7636584,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=18354691435440717595&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJPVELUBh2Oy4RSbkC6jTsS7s,"Kampung Wisata "" Hadrami "" Al Munawar",4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,-2.987663,104.77307139999999,Monday: 4:30 AM – 4:30 PM | Tuesday: 4:30 AM – 4:30 PM | Wednesday: 4:30 AM – 4:30 PM | Thursday: 4:30 AM – 4:30 PM | Friday: 4:30 AM – 4:30 PM | Saturday: 4:30 AM – 4:30 PM | Sunday: 4:30 AM – 4:30 PM,https://maps.google.com/?cid=13496140420354324809&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
