id,name,rating,price_level,indoor_outdoor,latitude,longitude,opening_time,gmaps_link,features_text
ChIJvQMhJ2CQdkcRa1Xs6dO-dys,Fortress Hohensalzburg,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,47.794948299999994,13.0476583,Monday: 8:30 AM – 8:00 PM | Tuesday: 8:30 AM – 8:00 PM | Wednesday: 8:30 AM – 8:00 PM | Thursday: 8:30 AM – 8:00 PM | Friday: 8:30 AM – 8:00 PM | Saturday: 8:30 AM – 8:00 PM | Sunday: 8:30 AM – 8:00 PM,https://maps.google.com/?cid=3132181883231425899&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,historical landmark tourist attraction historical place museum point of interest establishment
ChIJK-tdP3uQdkcRVd3VZhHZ1Sw,Mirabell Palace,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,47.8054432,13.0416942,Monday: 8:00 AM – 6:00 PM | Tuesday: 8:00 AM – 6:00 PM | Wednesday: 8:00 AM – 6:00 PM | Thursday: 8:00 AM – 6:00 PM | Friday: 8:00 AM – 6:00 PM | Saturday: 8:00 AM – 6:00 PM | Sunday: Closed,https://maps.google.com/?cid=3230726976471162197&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,castle tourist attraction historical place point of interest establishment
ChIJiYA55GOQdkcRi7885u5bbJ4,Mozart's Birthplace,4.3,PRICE_LEVEL_UNSPECIFIED,Outdoor,47.8000079,13.043558899999999,Monday: 9:00 AM – 5:30 PM | Tuesday: 9:00 AM – 5:30 PM | Wednesday: 9:00 AM – 5:30 PM | Thursday: 9:00 AM – 5:30 PM | Friday: 9:00 AM – 5:30 PM | Saturday: 9:00 AM – 5:30 PM | Sunday: 9:00 AM – 5:30 PM,https://maps.google.com/?cid=11415600237100449675&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,museum tourist attraction point of interest establishment
ChIJuYYBl2GQdkcRHSa2IHQNv0U,Salzburg Cathedral,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,47.79789460000001,13.0466354,Monday: 9:00 AM – 6:00 PM | Tuesday: 9:00 AM – 6:00 PM | Wednesday: 9:00 AM – 6:00 PM | Thursday: 9:00 AM – 6:00 PM | Friday: 9:00 AM – 6:00 PM | Saturday: 9:00 AM – 6:00 PM | Sunday: 1:00 – 6:00 PM,https://maps.google.com/?cid=5025750501584938525&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction church place of worship association or organization point of interest establishment
ChIJ6R6cMzqRdkcRiFyJj2CZ4X0,Hellbrunn Palace,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,47.7621308,13.060130299999999,Monday: 9:30 AM – 6:30 PM | Tuesday: 9:30 AM – 6:30 PM | Wednesday: 9:30 AM – 6:30 PM | Thursday: 9:30 AM – 4:30 PM | Friday: 9:30 AM – 6:30 PM | Saturday: 9:30 AM – 6:30 PM | Sunday: 9:30 AM – 6:30 PM,https://maps.google.com/?cid=9070699764504943752&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,castle tourist attraction historical place park point of interest establishment
ChIJR5iTmmGQdkcRMhe3zatrdSU,DomQuartier Salzburg,4.6,PRICE_LEVEL_UNSPECIFIED,Indoor,47.7985009,13.0456487,Monday: 10:00 AM – 5:00 PM | Tuesday: Closed | Wednesday: 10:00 AM – 5:00 PM | Thursday: 10:00 AM – 5:00 PM | Friday: 10:00 AM – 5:00 PM | Saturday: 10:00 AM – 5:00 PM | Sunday: 10:00 AM – 5:00 PM,https://maps.google.com/?cid=2699181937313388338&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,museum art museum art gallery church place of worship association or organization event venue point of interest service establishment
ChIJf0zTqWGQdkcRLclzz6-fLmY,St. Peter's Abbey,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,47.7975729,13.044445,"Monday: 8:00 AM – 12:00 PM, 12:30 – 6:30 PM | Tuesday: 8:00 AM – 12:00 PM, 12:30 – 6:30 PM | Wednesday: 8:00 AM – 12:00 PM, 12:30 – 6:30 PM | Thursday: 8:00 AM – 12:00 PM, 12:30 – 6:30 PM | Friday: 8:00 AM – 12:00 PM, 12:30 – 6:30 PM | Saturday: Closed | Sunday: Closed",https://maps.google.com/?cid=7362998018245904685&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction church place of worship association or organization point of interest establishment
ChIJxWcjzGSQdkcRN1WEyql2-Uk,Mirabell Gardens,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,47.8045848,13.042310299999999,Monday: 6:00 AM – 9:00 PM | Tuesday: 6:00 AM – 9:00 PM | Wednesday: 6:00 AM – 9:00 PM | Thursday: 6:00 AM – 9:00 PM | Friday: 6:00 AM – 9:00 PM | Saturday: 6:00 AM – 9:00 PM | Sunday: 6:00 AM – 9:00 PM,https://maps.google.com/?cid=5330422105588913463&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,garden tourist attraction point of interest establishment
ChIJXaLY_5SRdkcR6jtAdojgmc0,Getreidegasse Street,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,47.8000322,13.0424271,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=14815119325916052458&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJdcwcsWWQdkcRRacRj7tCVGI,Haus der Natur,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,47.8016443,13.0392002,Monday: 9:00 AM – 5:00 PM | Tuesday: 9:00 AM – 5:00 PM | Wednesday: 9:00 AM – 5:00 PM | Thursday: 9:00 AM – 5:00 PM | Friday: 9:00 AM – 5:00 PM | Saturday: 9:00 AM – 5:00 PM | Sunday: 9:00 AM – 5:00 PM,https://maps.google.com/?cid=7085361487087249221&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,zoo tourist attraction museum point of interest establishment
