id,name,rating,price_level,indoor_outdoor,latitude,longitude,opening_time,gmaps_link,features_text
ChIJVSYjJKIZ2jERpRFinATD52s,Fort Canning Park,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,1.2943875999999999,103.8458033,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=7775397706249408933&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,park tourist attraction point of interest establishment
ChIJMxZ-kwQZ2jERdsqftXeWCWI,Gardens by the Bay,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,1.2815683,103.8636132,Monday: 5:00 AM – 2:00 AM | Tuesday: 5:00 AM – 2:00 AM | Wednesday: 5:00 AM – 2:00 AM | Thursday: 5:00 AM – 2:00 AM | Friday: 5:00 AM – 2:00 AM | Saturday: 5:00 AM – 2:00 AM | Sunday: 5:00 AM – 2:00 AM,https://maps.google.com/?cid=7064342931399756406&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,garden botanical garden tourist attraction park point of interest establishment
ChIJzVHFNqkZ2jERboLN2YrltH8,Singapore Flyer,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,1.2892987999999999,103.86313679999999,Monday: 10:00 AM – 10:00 PM | Tuesday: 10:00 AM – 10:00 PM | Wednesday: 10:00 AM – 10:00 PM | Thursday: 10:00 AM – 10:00 PM | Friday: 10:00 AM – 10:00 PM | Saturday: 10:00 AM – 10:00 PM | Sunday: 10:00 AM – 10:00 PM,https://maps.google.com/?cid=9202232323147137646&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ferris wheel tourist attraction point of interest establishment
ChIJOeEf9S2vewIRM0B9a06CKwg,SkyPark Observation Deck,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,1.2852044,103.8610313,"Monday: 10:00 AM – 4:30 PM, 5:00 – 10:00 PM | Tuesday: 10:00 AM – 4:30 PM, 5:00 – 10:00 PM | Wednesday: 10:00 AM – 4:30 PM, 5:00 – 10:00 PM | Thursday: 10:00 AM – 4:30 PM, 5:00 – 10:00 PM | Friday: 10:00 AM – 4:30 PM, 5:00 – 10:00 PM | Saturday: 10:00 AM – 4:30 PM, 5:00 – 10:00 PM | Sunday: 10:00 AM – 4:30 PM, 5:00 – 10:00 PM",https://maps.google.com/?cid=588707449624412211&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,observation deck tourist attraction point of interest establishment
ChIJ9xUuiNcT2jER49FS2OpE8W8,Night Safari,4.3,PRICE_LEVEL_UNSPECIFIED,Outdoor,1.4021872,103.7880606,Monday: 6:00 PM – 12:00 AM | Tuesday: 6:00 PM – 12:00 AM | Wednesday: 6:00 PM – 12:00 AM | Thursday: 6:00 PM – 12:00 AM | Friday: 6:00 PM – 12:00 AM | Saturday: 6:00 PM – 12:00 AM | Sunday: 6:00 PM – 12:00 AM,https://maps.google.com/?cid=8066304183039611363&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,zoo tourist attraction point of interest establishment
ChIJxZfX_9gT2jERknwK8es7IHU,River Wonders,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,1.4038498,103.79066759999999,Monday: 9:00 AM – 6:00 PM | Tuesday: 9:00 AM – 6:00 PM | Wednesday: 9:00 AM – 6:00 PM | Thursday: 9:00 AM – 6:00 PM | Friday: 9:00 AM – 6:00 PM | Saturday: 9:00 AM – 6:00 PM | Sunday: 9:00 AM – 6:00 PM,https://maps.google.com/?cid=8439811586239659154&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,wildlife park aquarium zoo tourist attraction park point of interest establishment
ChIJBTYg1g4Z2jERp_MBbu5erWY,Merlion Park,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,1.2867449,103.85438719999999,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=7398674140980442023&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,park tourist attraction point of interest establishment
ChIJh0XICQMZ2jERc-RPjdU9KKo,Garden Rhapsody,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,1.2818914,103.8641627,"Monday: 7:45 – 8:00 PM, 8:45 – 9:00 PM | Tuesday: 7:45 – 8:00 PM, 8:45 – 9:00 PM | Wednesday: 7:45 – 8:00 PM, 8:45 – 9:00 PM | Thursday: 7:45 – 8:00 PM, 8:45 – 9:00 PM | Friday: 7:45 – 8:00 PM, 8:45 – 9:00 PM | Saturday: 7:45 – 8:00 PM, 8:45 – 9:00 PM | Sunday: 7:45 – 8:00 PM, 8:45 – 9:00 PM",https://maps.google.com/?cid=12261117972924327027&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJc-qInBwa2jERpyqg4OcodwA,National Parks Board,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,1.3157058,103.8161825,Monday: 5:00 AM – 12:00 AM | Tuesday: 5:00 AM – 12:00 AM | Wednesday: 5:00 AM – 12:00 AM | Thursday: 5:00 AM – 12:00 AM | Friday: 5:00 AM – 12:00 AM | Saturday: 5:00 AM – 12:00 AM | Sunday: 5:00 AM – 12:00 AM,https://maps.google.com/?cid=33540498599717543&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction garden park point of interest establishment
ChIJUc0YwKIZ2jERnCfsCKnOamE,Fort Canning Tree Tunnel,4.3,PRICE_LEVEL_UNSPECIFIED,Outdoor,1.2972839999999999,103.846345,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=7019650194604828572&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,park garden tourist attraction point of interest establishment
ChIJd0VihwEZ2jERKeREhO6G1Qg,Cloud Forest,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,1.2838676999999998,103.8660024,Monday: 9:00 AM – 9:00 PM | Tuesday: 9:00 AM – 9:00 PM | Wednesday: 9:00 AM – 9:00 PM | Thursday: 9:00 AM – 9:00 PM | Friday: 9:00 AM – 9:00 PM | Saturday: 9:00 AM – 9:00 PM | Sunday: 9:00 AM – 9:00 PM,https://maps.google.com/?cid=636563281322239017&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,botanical garden garden tourist attraction point of interest establishment
ChIJ1_vobQ0Z2jER8clToFO8Zg0,Singapore DUCKtours,4.3,PRICE_LEVEL_UNSPECIFIED,Outdoor,1.2960653,103.85932369999999,Monday: 9:00 AM – 6:00 PM | Tuesday: 9:00 AM – 6:00 PM | Wednesday: 9:00 AM – 6:00 PM | Thursday: 9:00 AM – 6:00 PM | Friday: 9:00 AM – 6:00 PM | Saturday: 9:00 AM – 6:00 PM | Sunday: 9:00 AM – 6:00 PM,https://maps.google.com/?cid=965666237475703281&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJnXwAOKAZ2jERAs-MHs1aDgI,CQ @ Clarke Quay,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,1.2906024,103.84647419999999,No Opening Hours Data,https://maps.google.com/?cid=148155674777145090&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,shopping mall tourist attraction point of interest establishment
ChIJ_6g8kisX2jERaGrSixd_xbM,Windsor Nature Park,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,1.3566265,103.8214319,Monday: 7:00 AM – 7:00 PM | Tuesday: 7:00 AM – 7:00 PM | Wednesday: 7:00 AM – 7:00 PM | Thursday: 7:00 AM – 7:00 PM | Friday: 7:00 AM – 7:00 PM | Saturday: 7:00 AM – 7:00 PM | Sunday: 7:00 AM – 7:00 PM,https://maps.google.com/?cid=12953899642307897960&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,nature preserve tourist attraction park point of interest establishment
ChIJvWDbfRwa2jERgNnTOpAU3-o,Singapore Botanic Gardens,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,1.3138397,103.8159136,Monday: 5:00 AM – 12:00 AM | Tuesday: 5:00 AM – 12:00 AM | Wednesday: 5:00 AM – 12:00 AM | Thursday: 5:00 AM – 12:00 AM | Friday: 5:00 AM – 12:00 AM | Saturday: 5:00 AM – 12:00 AM | Sunday: 5:00 AM – 12:00 AM,https://maps.google.com/?cid=16924268534376421760&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,botanical garden tourist attraction point of interest establishment
ChIJreQna9kT2jERVuM4al7id9A,Mandai Wildlife Reserve,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,1.4049843,103.79054889999999,No Opening Hours Data,https://maps.google.com/?cid=15021723977254495062&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction wildlife park zoo park point of interest establishment
