id,name,rating,price_level,indoor_outdoor,latitude,longitude,opening_time,gmaps_link,features_text
ChIJpR6UjKfEmUcRcqW5MbHYdO4,Stuttgart TV Tower,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.7558609,9.190105599999999,Monday: 10:00 AM – 10:00 PM | Tuesday: 10:00 AM – 10:00 PM | Wednesday: 10:00 AM – 10:00 PM | Thursday: 10:00 AM – 10:00 PM | Friday: 10:00 AM – 10:00 PM | Saturday: 10:00 AM – 10:00 PM | Sunday: 10:00 AM – 10:00 PM,https://maps.google.com/?cid=17182596733880345970&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction observation deck restaurant food point of interest establishment
ChIJbwUJpjXbmUcROnJATElzb4E,Schlossplatz,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.7786307,9.179640299999999,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=9326800111956685370&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,historical place tourist attraction park point of interest establishment
ChIJ4dnOMofamUcRh3lftY5kgDw,Porsche Museum,4.7,PRICE_LEVEL_VERY_EXPENSIVE,Outdoor,48.8342104,9.152554499999999,Monday: Closed | Tuesday: 9:00 AM – 6:00 PM | Wednesday: 9:00 AM – 6:00 PM | Thursday: 9:00 AM – 6:00 PM | Friday: 9:00 AM – 6:00 PM | Saturday: 9:00 AM – 6:00 PM | Sunday: 9:00 AM – 6:00 PM,https://maps.google.com/?cid=4359595003385706887&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction museum point of interest establishment
ChIJ1Q2AB8vEmUcRVUkv1rHzrV8,Staatsgalerie Stuttgart,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.7801002,9.1865854,Monday: Closed | Tuesday: 10:00 AM – 5:00 PM | Wednesday: 10:00 AM – 5:00 PM | Thursday: 10:00 AM – 8:00 PM | Friday: 10:00 AM – 5:00 PM | Saturday: 10:00 AM – 5:00 PM | Sunday: 10:00 AM – 5:00 PM,https://maps.google.com/?cid=6894434549702281557&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,art museum art gallery tourist attraction museum point of interest establishment
ChIJu5y9eDXbmUcRA4AZFSiB-M8,Old Castle,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.777062099999995,9.179547099999999,Monday: Closed | Tuesday: 10:00 AM – 6:00 PM | Wednesday: 10:00 AM – 6:00 PM | Thursday: 10:00 AM – 6:00 PM | Friday: 10:00 AM – 6:00 PM | Saturday: 10:00 AM – 6:00 PM | Sunday: 10:00 AM – 6:00 PM,https://maps.google.com/?cid=14985869769227993091&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,castle tourist attraction museum historical place point of interest establishment
ChIJJUGfmTrFmUcRRHwjsqrLVJc,Maurischer Garten Stuttgart,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.8065276,9.2054057,Monday: 8:15 AM – 7:30 PM | Tuesday: 8:15 AM – 7:30 PM | Wednesday: 8:15 AM – 7:30 PM | Thursday: 8:15 AM – 7:30 PM | Friday: 8:15 AM – 7:30 PM | Saturday: 8:15 AM – 7:30 PM | Sunday: 8:15 AM – 7:30 PM,https://maps.google.com/?cid=10904564531764362308&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,botanical garden tourist attraction point of interest establishment
ChIJNwoMHK3bmUcRSi4PCSzDZHE,Höhenpark Killesberg,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.804117399999996,9.173753999999999,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=8170870217854889546&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,park tourist attraction point of interest establishment
ChIJHecoQDXbmUcRaZ5zXsJie0o,Neues Schloss Stuttgart,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.7779689,9.1818709,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=5366991967889890921&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,castle tourist attraction historical place point of interest establishment
ChIJa4SQJDDbmUcRnh4iPvqIyDA,Chinese Garden Stuttgart,4.0,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.7872385,9.1759729,Monday: 7:00 AM – 8:00 PM | Tuesday: 7:00 AM – 8:00 PM | Wednesday: 7:00 AM – 8:00 PM | Thursday: 7:00 AM – 8:00 PM | Friday: 7:00 AM – 8:00 PM | Saturday: 7:00 AM – 8:00 PM | Sunday: 7:00 AM – 8:00 PM,https://maps.google.com/?cid=3515210117528297118&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,botanical garden tourist attraction garden point of interest establishment
ChIJV4MIADLbmUcRh56DKkG2ei4,Stuttgardia Skulptur,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.775225500000005,9.177701299999999,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=3349189663905783431&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
