id,name,rating,price_level,indoor_outdoor,latitude,longitude,opening_time,gmaps_link,features_text
ChIJ3wYgv5kHbUcRX0LEFIAWhYY,Hofburg,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.2056578,16.3647803,Monday: 9:00 AM – 6:00 PM | Tuesday: 9:00 AM – 6:00 PM | Wednesday: 9:00 AM – 6:00 PM | Thursday: 9:00 AM – 6:00 PM | Friday: 9:00 AM – 6:00 PM | Saturday: 9:00 AM – 6:00 PM | Sunday: 9:00 AM – 6:00 PM,https://maps.google.com/?cid=9693178512344891999&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,historical place tourist attraction historical landmark history museum museum point of interest establishment
ChIJv3zAHAmobUcRyYvq5F26aU4,Schönbrunn Palace,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.185812399999996,16.3127641,Monday: 8:30 AM – 5:30 PM | Tuesday: 8:30 AM – 5:30 PM | Wednesday: 8:30 AM – 5:30 PM | Thursday: 8:30 AM – 5:30 PM | Friday: 8:30 AM – 5:30 PM | Saturday: 8:30 AM – 5:30 PM | Sunday: 8:30 AM – 5:30 PM,https://maps.google.com/?cid=5650252119948299209&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,castle tourist attraction historical landmark historical place museum point of interest establishment
ChIJz-w_Ip8HbUcRWTHc-vNXlxc,St. Stephen's Cathedral,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.208411399999996,16.3734707,Monday: 9:00 – 11:30 AM | Tuesday: 9:00 – 11:30 AM | Wednesday: 9:00 – 11:30 AM | Thursday: 9:00 – 11:30 AM | Friday: 9:00 – 11:30 AM | Saturday: 9:00 – 11:30 AM | Sunday: 1:00 – 4:30 PM,https://maps.google.com/?cid=1699924089753055577&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction church place of worship association or organization point of interest establishment
ChIJd7QUtBIHbUcRnIE5N35NVIQ,Hundertwasser House,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.207336999999995,16.394294,No Opening Hours Data,https://maps.google.com/?cid=9535331515537916316&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJpZ4LAn0HbUcRB3aToFL8ZUo,Belvedere Palace,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.191475100000005,16.3809322,Monday: 9:00 AM – 6:00 PM | Tuesday: 9:00 AM – 6:00 PM | Wednesday: 9:00 AM – 6:00 PM | Thursday: 9:00 AM – 6:00 PM | Friday: 9:00 AM – 6:00 PM | Saturday: 9:00 AM – 6:00 PM | Sunday: 9:00 AM – 6:00 PM,https://maps.google.com/?cid=5360968363265979911&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,museum tourist attraction point of interest establishment
ChIJY6GrTT8HbUcR9LGo6Zxp5_w,Prater,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.2154648,16.4001739,No Opening Hours Data,https://maps.google.com/?cid=18223650539833962996&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,amusement park tourist attraction park restaurant food store point of interest establishment
ChIJ8XfPY5oHbUcRQbimbLVSYG8,Kunsthistorisches Museum Wien,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.2038016,16.3617874,Monday: Closed | Tuesday: 10:00 AM – 6:00 PM | Wednesday: 10:00 AM – 6:00 PM | Thursday: 10:00 AM – 9:00 PM | Friday: 10:00 AM – 6:00 PM | Saturday: 10:00 AM – 6:00 PM | Sunday: 10:00 AM – 6:00 PM,https://maps.google.com/?cid=8025505475139647553&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,museum tourist attraction art museum point of interest establishment
ChIJf5_KqpAHbUcROuTS5DKluMk,Heldenplatz,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.2065038,16.3634618,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=14535549435344249914&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction historical landmark plaza historical place park point of interest establishment
ChIJbac0_JgHbUcRXkPUJudXIpA,Time Travel Vienna,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.20825920000001,16.3682589,Monday: 10:00 AM – 8:00 PM | Tuesday: 10:00 AM – 8:00 PM | Wednesday: 10:00 AM – 8:00 PM | Thursday: 10:00 AM – 8:00 PM | Friday: 10:00 AM – 8:00 PM | Saturday: 10:00 AM – 8:00 PM | Sunday: 10:00 AM – 8:00 PM,https://maps.google.com/?cid=10385960340970292062&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction historical landmark historical place museum point of interest establishment
ChIJJYWNjA8HbUcRBlfleWeh1qw,Viennese Giant Ferris Wheel,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,48.2166995,16.3959008,Monday: 9:00 AM – 11:45 PM | Tuesday: 9:00 AM – 11:45 PM | Wednesday: 9:00 AM – 11:45 PM | Thursday: 9:00 AM – 11:45 PM | Friday: 9:00 AM – 11:45 PM | Saturday: 9:00 AM – 11:45 PM | Sunday: 9:00 AM – 11:45 PM,https://maps.google.com/?cid=12454319285338461958&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ferris wheel tourist attraction historical landmark historical place point of interest establishment
