id,name,rating,price_level,indoor_outdoor,latitude,longitude,features_text
ChIJK8_C0JNXei4RE74coPghaic,Taman Sari Tourist Village,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,-7.8100463,110.3591999,historical landmark tourist attraction historical place point of interest establishment
ChIJ78cG25ZXei4RbCcrBc9xUjk,Keraton Ngayogyakarta Hadiningrat,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,-7.805369799999999,110.3643518,historical landmark tourist attraction historical place point of interest establishment
ChIJz-6zwIhXei4R-J8qI-AcYbk,Vredeburg Fort Museum,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,-7.800293000000001,110.3661642,history museum tourist attraction museum point of interest service establishment
ChIJCVctJlxXei4R7ISL-04yGvE,Yogyakarta Royal Palace,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,-7.806958700000001,110.3639266,tourist attraction museum point of interest establishment
ChIJl5MfmllXei4RD-EMKO4ov-s,Titik Nol Kilometer Yogyakarta,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,-7.8013965999999995,110.36476409999999,tourist attraction sports activity location point of interest establishment
ChIJ8TjDGYhXei4Rts_Mftk6qnI,Tourism Zone Malioboro,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,-7.798225899999999,110.36524229999999,tourist attraction point of interest establishment
ChIJr7kvD4ZXei4R2C22dHAA9qk,Taman Pintar Yogyakarta,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,-7.8007921,110.3673424,playground tourist attraction museum educational institution sports activity location point of interest establishment
ChIJTwoHg49Xei4R7sU-xBpDEJ0,Museum Sonobudoyo Unit I,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,-7.802256999999999,110.3639441,art museum tourist attraction museum point of interest establishment
ChIJE6GNt71Xei4R4XqZ6m7rM0g,Kampoeng Cyber,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,-7.8098918,110.35831259999999,tourist attraction point of interest establishment
ChIJn6dREoZXei4R3nSzL886d3E,DINO Adventure,4.2,PRICE_LEVEL_UNSPECIFIED,Outdoor,-7.8005968999999995,110.3676789,tourist attraction point of interest establishment
