id,name,rating,price_level,indoor_outdoor,latitude,longitude,features_text
ChIJZYb8XRjCSjARxD5Df-qEkCw,Kek Lok Si Temple,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,5.3996413,100.27361259999999,buddhist temple tourist attraction place of worship association or organization point of interest establishment
ChIJESJTC43DSjARiVDKy9hsY74,Clan Jetties of Penang,4.2,PRICE_LEVEL_UNSPECIFIED,Outdoor,5.4128345,100.3396559,historical landmark tourist attraction historical place point of interest establishment
ChIJ83gcpVjoSjARH4vjVeRjzHg,Entopia by Penang Butterfly Farm,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,5.4476214999999995,100.21499430000001,tourist attraction garden point of interest establishment
ChIJ-8pjzpXDSjARhqQbf7o4ang,"The TOP Penang, Theme Park Penang",4.3,PRICE_LEVEL_UNSPECIFIED,Outdoor,5.4144543999999994,100.32954959999999,tourist attraction amusement park amusement center bridge lounge bar aquarium night club spa bar museum event venue restaurant food association or organization transportation service point of interest establishment
ChIJny-BJpLDSjARtmEDgFcyASw,Leong San Tong Khoo Kongsi,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,5.4145737,100.33718999999999,tourist attraction museum point of interest establishment
ChIJCWvz3I_DSjAR5hveCXjdfIs,Pinang Peranakan Mansion,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,5.4178275,100.3412046,museum tourist attraction point of interest establishment
ChIJ7SWWEM3rSjARwSe9fzEzj-Q,Penang National Park,4.2,PRICE_LEVEL_UNSPECIFIED,Outdoor,5.447142299999999,100.19399229999999,national park tourist attraction park point of interest establishment
ChIJdd8lXaTDSjARYLK8T3hGW-U,ESCAPE Penang,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,5.4497405,100.214038,tourist attraction water park amusement park amusement center point of interest establishment
ChIJ-cCMa5LDSjARF1sg9FiPauc,Penang Street Art,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,5.4145962,100.3382558,tourist attraction point of interest establishment
ChIJt0Sxll7oSjARG1NtQ92FCc8,Tropical Spice Garden | Events Venue | Cooking Classes | Spice Store,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,5.4634881,100.22933979999999,tourist attraction wedding venue botanical garden nature preserve food store park educational institution event venue store food association or organization garden point of interest service establishment
ChIJ7UncVgjoSjARkKYoZ2QZCCk,Batu Ferringhi Beach,4.3,PRICE_LEVEL_UNSPECIFIED,Outdoor,5.4734004,100.24605749999999,tourist attraction point of interest establishment
ChIJSz4P-mLoSjARZeNASeOKEL0,Teluk Bahang Beach,4.3,PRICE_LEVEL_UNSPECIFIED,Outdoor,5.4613594999999995,100.21741329999999,tourist attraction point of interest establishment
ChIJ_Y9zS4_DSjARnxALwqb4vw8,Queen Victoria Memorial Clock Tower,4.2,PRICE_LEVEL_UNSPECIFIED,Outdoor,5.4193698999999995,100.34426289999999,historical landmark tourist attraction historical place point of interest establishment
ChIJybul6H_HSjARsOghx_1b9TY,Penang River Cruise,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,5.335986500000001,100.42756399999999,tourist attraction point of interest establishment
ChIJQY55_XrCSjARE4XPYsmgG54,Penang Hill,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,5.4235809,100.2696725,tourist attraction point of interest establishment
ChIJAcOJ897DSjAR-MIgqljxh5Y,Firewood Penang,4.9,PRICE_LEVEL_UNSPECIFIED,Indoor,5.4187255,100.3391968,restaurant food point of interest establishment
ChIJAeCz8uLDSjAREYNbEG6ILek,Hwa Ting Restaurant,4.8,PRICE_LEVEL_MODERATE,Indoor,5.4134328,100.3350214,restaurant chinese restaurant food point of interest establishment
ChIJn40DegDDSjARTJ_gtl77968,Damas Penang (Arabic Restaurant),4.8,PRICE_LEVEL_UNSPECIFIED,Indoor,5.4201938,100.3261304,middle eastern restaurant shawarma restaurant restaurant food point of interest establishment
ChIJ6QwdB7nDSjARpVms2htpTFY,Donna Bistro @ Com-Tar,4.8,PRICE_LEVEL_UNSPECIFIED,Indoor,5.4159369,100.3308034,halal restaurant cafe restaurant food point of interest establishment
ChIJD2qOtJvDSjAR77MI7HHH7Qk,Orinea Restaurant,4.8,PRICE_LEVEL_UNSPECIFIED,Indoor,5.4325128000000005,100.31647219999999,fine dining restaurant french restaurant restaurant food point of interest establishment
ChIJxXZez2LDSjAR7AYnm8iR_r8,The Loft - Love Lane,4.5,PRICE_LEVEL_MODERATE,Indoor,5.418957600000001,100.33672469999999,italian restaurant pizza restaurant live music venue event venue bar restaurant food point of interest establishment
