id,name,rating,price_level,indoor_outdoor,latitude,longitude,features_text
ChIJWS6-eJz_-jERUyRZ7Zr1P4s,Kampung Budaya Sarawak,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,1.7500924,110.3159462,museum tourist attraction point of interest establishment
ChIJKQlHS1IE-zERJHi_j8INEKk,Kubah National Park,4.3,PRICE_LEVEL_UNSPECIFIED,Outdoor,1.6127690000000001,110.196905,national park tourist attraction park point of interest establishment
ChIJEabDttjpHjIRWGlhHAJkjfA,Niah National Park,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,3.8014873999999996,113.7853389,national park tourist attraction park point of interest establishment
ChIJn38e5pdt-zER_lGRIiX5u9M,Fairy Caves,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,1.3817723,110.1171684,tourist attraction nature preserve park point of interest establishment
ChIJ-eL9R5oB-zERcBU5zQME8O8,Kuching Wetlands National Park,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,1.6895038999999998,110.2519226,national park tourist attraction park point of interest establishment
ChIJw3T9gBPa-DER0Fq3Sw25mlU,Batang Ai National Park,4.3,PRICE_LEVEL_UNSPECIFIED,Outdoor,1.2227770999999998,111.94780159999999,national park tourist attraction park point of interest establishment
ChIJYS7oo2R1-zERbLMHEKPgYGo,Semenggoh Wildlife Centre,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,1.4019845,110.3144405,wildlife park tourist attraction zoo park point of interest establishment
ChIJ8ZPJfLSn-zERcm674Uq78Z8,Kuching Waterfront,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,1.5604695,110.3457446,tourist attraction point of interest establishment
ChIJB2jltixT-jERpv3vxRTzu1o,Bako National Park,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,1.7066873999999999,110.46632489999999,national park tourist attraction park point of interest establishment
ChIJWZ3KB5j8-jERA87DIlGOhQI,Taman Negara Talang Satang,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,1.7842703,110.1642622,national park tourist attraction park point of interest establishment
ChIJy76jUZj_-jERAkCJPiD_CPM,Damai Beach,4.3,PRICE_LEVEL_UNSPECIFIED,Outdoor,1.7499882999999998,110.3135568,tourist attraction point of interest establishment
ChIJHZzYUbYDGTIRKZ8z74xqVcw,Gunung Mulu National Park,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,4.09207,114.8958021,national park tourist attraction park point of interest establishment
ChIJ8XwJmbojHzIRARyeTXaFay4,Tusan Cliff Sarawak,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,4.1216425,113.8183688,tourist attraction point of interest establishment
ChIJo-Vqlnp1-zER1wrnhmPeUz0,Semenggoh Nature Reserve,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,1.4016855,110.3144962,nature preserve tourist attraction park point of interest establishment
ChIJKQlHS1IE-zERfNQctsUbMj0,Matang Wildlife Centre,3.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,1.6093743,110.1602235,wildlife park tourist attraction zoo park point of interest establishment
ChIJHWeeC_q-AjIRgJ016MvIPs8,Fort Sylvia,4.2,PRICE_LEVEL_UNSPECIFIED,Outdoor,2.0172155,112.9419233,museum tourist attraction historical landmark historical place point of interest establishment
ChIJydx27J_BHTIRenh9uNKXVnQ,Taman Tumbina Zoo,4.1,PRICE_LEVEL_UNSPECIFIED,Outdoor,3.2040272,113.04757769999999,tourist attraction park point of interest establishment
ChIJn-Bz5uOf-zERYsApfMOfeug,Jong's Crocodile Farm & Zoo,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,1.3640379,110.41217719999999,zoo tourist attraction point of interest establishment
ChIJNwDLKCkn-zEREcdB1tNIGkU,Gunung Gading National Park,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,1.6905556,109.8458333,national park tourist attraction park point of interest establishment
ChIJWyMd2_LPGDIRf-4xW7dfo6Q,Fort Hose,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,4.1771023,114.3247443,historical landmark tourist attraction historical place point of interest establishment
ChIJK81x1uqn-zER5bxM0FyA92A,Lepau Restaurant,4.4,PRICE_LEVEL_MODERATE,Indoor,1.5535226,110.351873,restaurant food point of interest establishment
